start_index,direction,t,ratio
1,2,2.0,2.080301825782756
1,2,2.1,2.1830061436609802
1,2,2.2,2.284739900431494
1,2,2.3,2.385430000440201
1,2,2.4,2.4850137219683615
1,2,2.5,2.5834370601571277
1,2,2.6,2.68065336531734
1,2,2.7,2.7766222260047497
1,2,2.8,2.8713085529909956
1,2,2.9,2.964681827158522
1,2,3.0,3.0567154806763708
1,2,3.1,3.147386386364818
1,2,3.2,3.236674434844829
1,2,3.3,3.32456218295462
1,2,3.4,3.41103456010512
1,2,3.5,3.4960786218321345
1,2,3.6,3.5796833418819074
1,2,3.7,3.661839435855712
1,2,3.8,3.742539210772912
1,2,3.9,3.821776435999974
1,2,4.0,3.899546231853799
1,2,4.1,3.975844972886182
1,2,4.2,4.050670203406421
1,2,4.3,4.124020563256741
1,2,4.4,4.195895722206735
1,2,4.5,4.266296321633905
1,2,4.6,4.335223922387089
1,2,4.7,4.4026809579245
1,2,4.8,4.468670691972874
1,2,4.9,4.5331971800814745
1,2,5.0,4.596265234549259
1,2,5.1,4.657880392288012
1,2,5.2,4.7180488852535385
1,2,5.3,4.776777613138815
1,2,5.4,4.834074118065326
1,2,5.5,4.8899465610538035
1,2,5.6,4.944403700083889
1,2,5.7,4.997454869583053
1,2,5.8,5.049109961208721
1,2,5.9,5.099379405802516
1,2,6.0,5.148274156418341
1,2,6.1,5.195805672332524
1,2,6.2,5.241985903962499
1,2,6.3,5.2868272786284205
1,2,6.4,5.330342687094829
1,2,6.5,5.37254547084775
1,2,6.6,5.413449410059225
1,2,6.7,5.453068712201403
1,2,6.8,5.491418001272839
1,2,6.9,5.5285123076122975
1,2,7.0,5.564367058267555
1,2,7.1,5.598998067898241
1,2,7.2,5.632421530188033
1,2,7.3,5.664654009752057
1,2,7.4,5.69571243451886
1,2,7.5,5.725614088571106
1,2,7.6,5.754376605437002
1,2,7.7,5.782017961812807
1,2,7.8,5.808556471710803
1,2,7.9,5.834010781022677
1,2,8.0,5.858399862487872
1,2,8.1,5.88174301106109
1,2,8.2,5.904059839671862
1,2,8.3,5.925370275371536
1,2,8.4,5.945694555860297
1,2,8.5,5.965053226394309
1,2,8.6,5.983467137065996
1,2,8.7,6.000957440455898
1,2,8.8,6.01754558965735
1,2,8.9,6.033253336669195
1,2,9.0,6.048102731157202
1,2,9.1,6.062116119586297
1,2,9.2,6.075316144724588
1,2,9.3,6.087725745518644
1,2,9.4,6.099368157347165
1,2,9.5,6.1102669126542555
1,2,9.6,6.120445841966398
1,2,9.7,6.129929075302286
1,2,9.8,6.138741043980636
1,2,9.9,6.146906482831984
1,2,10.0,6.154450432828893
1,3,0.0,0.0
1,3,0.1,0.35103820102519434
1,3,0.2,0.6523820448463075
1,3,0.3,0.9134554977187551
1,3,0.4,1.1425577098798656
1,3,0.5,1.346602356566202
1,3,0.6,1.5311293714335084
1,3,0.7,1.7004537544773737
1,3,0.8,1.8578659225624352
1,3,0.9,2.0058351456542294
1,3,1.0,2.1461922276201846
1,3,1.1,2.280282475484194
1,3,1.2,2.4090881581000194
1,3,1.3,2.533323556656278
1,3,1.4,2.65350713189972
1,3,1.5,2.7700154417939076
1,3,1.6,2.883122946092715
1,3,1.7,2.9930311285835156
1,3,1.8,3.0998896564670386
1,3,1.9,3.2038116690217326
1,3,2.0,3.3048847723985335
1,3,2.1,3.4031789120679945
1,3,2.2,3.498751984581348
1,3,2.3,3.591653817905223
1,3,2.4,3.681928977612926
1,3,2.5,3.7696187300994017
1,3,2.6,3.854762402083758
1,3,2.7,3.937398308976126
1,3,2.8,4.017564376427402
1,3,2.9,4.095298544522129
1,3,3.0,4.170639018901519
1,3,3.1,4.2436244149693545
1,3,3.2,4.314293828232364
1,3,3.3,4.382686854395978
1,3,3.4,4.448843576036402
1,3,3.5,4.512804527767793
1,3,3.6,4.574610648291039
1,3,3.7,4.6343032251900365
1,3,3.8,4.691923836506622
1,3,3.9,4.747514291837086
1,3,4.0,4.801116574758773
1,3,4.1,4.852772787745226
1,3,4.2,4.902525100260703
1,3,4.3,4.95041570041133
1,3,4.4,4.996486750299107
1,3,4.5,5.040780345090077
1,3,4.6,5.083338475697373
1,3,4.7,5.1242029949282815
1,3,4.8,5.163415586906393
1,3,4.9,5.201017739563387
1,3,5.0,5.237050719983766
1,3,5.1,5.271555552399088
1,3,5.2,5.304572998623525
1,3,5.3,5.336143540743745
1,3,5.4,5.366307365881412
1,3,5.5,5.395104352864289
1,3,5.6,5.422574060652088
1,3,5.7,5.448755718376271
1,3,5.8,5.473688216869668
1,3,5.9,5.497410101569894
1,3,6.0,5.519959566688192
1,3,6.1,5.5413744505545175
1,3,6.2,5.561692232046969
1,3,6.3,5.580950028037204
1,3,6.4,5.59918459177225
1,3,6.5,5.616432312137458
1,3,6.6,5.6327292137426195
1,3,6.7,5.648110957779294
1,3,6.8,5.662612843602771
1,3,6.9,5.676269811004422
1,3,7.0,5.689116443131071
1,3,7.1,5.7011869700229045
1,3,7.2,5.712515272738995
1,3,7.3,5.72313488804808
1,3,7.4,5.733079013659399
1,3,7.5,5.7423805139757516
1,3,7.6,5.7510719263525365
1,3,7.7,5.759185467846894
1,3,7.8,5.7667530424458215
1,3,7.9,5.773806248764926
1,3,8.0,5.780376388210233
1,3,8.1,5.786494473595756
1,3,8.2,5.7921912382163985
1,3,8.3,5.797497145373196
1,3,8.4,5.8024423983553755
1,3,8.5,5.80705695087615
1,3,8.6,5.811370517972068
1,3,8.7,5.815412587372054
1,3,8.8,5.819212431343374
1,3,8.9,5.822799119030112
1,3,9.0,5.826201529288919
1,3,9.1,5.829448364048455
1,3,9.2,5.832568162204041
1,3,9.3,5.8355893140663735
1,3,9.4,5.838540076393746
1,3,9.5,5.841448588027185
