t,v,w,lognorm_local,opnorm_local
1.3999999999999986,-1.8503661980927344,0.7046871871802234,0.022496165073101527,2.6225047096908782
1.4500000000000028,-1.847529620294448,0.6978473494927414,0.022855813010186757,2.6128103593597656
1.5,-1.84469410235031,0.6910406903771935,0.023217665884723557,2.603140627884836
1.5499999999999972,-1.8418596859461076,0.6842670995137375,0.023581736031717485,2.593495673471401
1.6000000000000014,-1.8390264066298656,0.6775264667810497,0.023948036609780718,2.583875632573577
1.6499999999999986,-1.836194294579591,0.670818682278633,0.024316581525721834,2.574280622718765
1.7000000000000028,-1.8333633752718927,0.6641436363461913,0.024687385368829213,2.564710744964087
1.75,-1.8305336700645556,0.6575012195804468,0.025060463353614938,2.5551660860338328
1.7999999999999972,-1.827705196704372,0.6508913228497295,0.025435831269948136,2.545646720180268
1.8500000000000016,-1.8248779697700264,0.6443138373066262,0.025813505439645692,2.536152710804459
1.8999999999999984,-1.822052001058517,0.6377686543989344,0.026193502678708312,2.5266841118687915
1.9500000000000028,-1.819227299922465,0.6312556658791396,0.026575840264496397,2.5172409691286037
2.0,-1.816403873564684,0.6247747638126013,0.02696053590722987,2.507823321206674
2.049999999999997,-1.8135817272955403,0.6183258405846133,0.0273476077252759,2.498431200531116
2.1000000000000014,-1.8107608647579003,0.6119087889064801,0.02773707422375732,2.489064634154482
2.1499999999999986,-1.8079412881238333,0.605523501820733,0.0281289542760726,2.4797236444695634
2.200000000000003,-1.8051229982666817,0.5991698727055934,0.02852326710797348,2.4704082498352
2.25,-1.802305994911651,0.5928477952787803,0.02892003228388765,2.461118465123807
2.299999999999997,-1.7994902767676524,0.5865571636007415,0.0293192696952153,2.4518543022006476
2.3500000000000014,-1.7966758416427664,0.5802978720773808,0.029720999550363586,2.4426157703436377
2.3999999999999986,-1.7938626865454128,0.5740698154623461,0.030125242366309597,2.433402876611288
2.450000000000003,-1.7910508077730165,0.5678728888589306,0.030532018961512083,2.424215626165416
2.5,-1.7882402009897445,0.5617069877216363,0.030941350450012024,2.4150540225543575
2.549999999999997,-1.7854308612946788,0.5555720078574421,0.0313532582365839,2.405918067961709
2.6000000000000014,-1.7826227832816215,0.549467845426812,0.03176776401281531,2.396807763424953
2.6499999999999986,-1.77981596109157,0.5433943969444768,0.032184889754008544,2.3877231090277604
2.700000000000003,-1.77701038845877,0.5373515592800159,0.03260465771681063,2.3786641040692893
2.75,-1.774206058751138,0.5313392296582665,0.03302709043749019,2.3696307472133404
2.799999999999997,-1.7714029650057492,0.5253573056595788,0.03345221073078843,2.360623036619917
2.8500000000000014,-1.7686010999599922,0.5194056852199374,0.033880041689282256,2.351640970061354
2.8999999999999986,-1.7658004560789196,0.513484266630966,0.0343106066832031,2.3426845450249525
2.950000000000003,-1.76300102557926,0.5075929485398308,0.03474392936066365,2.333753758803785
3.0,-1.7602028004504906,0.5017316299490523,0.03518003364824986,2.3248486085771196
3.049999999999997,-1.7574057724733336,0.4959002102162398,0.035618943751939164,2.3159690914817785
3.1000000000000014,-1.754609933235975,0.4900985890537583,0.03606068415831483,2.3071152046755046
3.1499999999999986,-1.7518152741482886,0.484326666528334,0.03650527963604456,2.2982869453933317
3.200000000000003,-1.7490217864542967,0.4785843430606097,0.03695275523759981,2.289484310997832
3.25,-1.7462294612430809,0.4728715194246536,0.037403136301192234,2.2807072990239603
3.299999999999997,-1.7434382894583202,0.4671880967474292,0.03785644845290887,2.271955907219165
3.3500000000000014,-1.740648261906625,0.4615339765082323,0.03831271760902752,2.2632301335793454
3.3999999999999986,-1.7378593692648034,0.4559090605380971,0.03877196997849754,2.254529976381152
3.450000000000003,-1.7350716020861845,0.4503132510191784,0.039234232065573166,2.245855434211079
3.5,-1.7322849508061091,0.4447464504841114,0.03969953067258662,2.237206505991728
3.549999999999997,-1.7294994057466822,0.4392085618153538,0.04016789290285192,2.2285831910055984
