t,obs_max_l1,lipschitz_l1,lognorm_l1,obs_max_l2,lipschitz_l2,lognorm_l2
2.3,7.441865457705837,1117.1185912251663,14.790385622493874,7.413969142423712,3864.0541132188036,124.38274159386948
2.4,7.924078827874427,1515.7421757338554,16.628312246256257,7.652378755559724,5244.1073740967795,140.959968552559
2.5,8.287074291046162,2056.607383804004,18.694628741692927,7.884659941120957,7116.60770548744,159.5971638956556
2.6,8.48184304019802,2790.470568696386,21.017715966238026,8.110914546746574,9657.275946673639,180.55030950452783
2.7,8.467648213354753,3786.1995712365906,23.629481523335865,8.331244596413523,13104.53574340659,204.10719683785837
2.8,8.222885298864373,5137.236476903285,26.56579801337998,8.545752050560555,17781.88791144212,230.5913797473807
2.9,7.753449592788076,6970.366491010466,29.866995743885948,8.754538615323487,24128.26868743146,260.36661849009084
3.0,7.094493320016567,9457.615828557127,33.57841666627228,8.957705592321878,32739.240773111036,293.8418759754415
3.1,6.303866842181942,12832.395151091634,37.751037147571296,9.155353761609652,44422.88265934718,331.47693487097695
3.2,5.449479780814598,17411.40349733179,42.44216813083939,9.347583291536775,60275.621045624095,373.7887127173538
3.3,4.595592293012826,23624.34823565327,47.71624230097018,9.534493670320126,81785.12268824033,421.35836179085425
3.4,3.792795441639476,32054.270044625766,53.64569906763308,9.716183655040158,110969.90134542304,474.8392512300053
3.5,3.0738091675793817,43492.2571342371,60.31197952057797,9.892751234571769,150568.74093830277,534.9659410608122
3.6,2.454388513381027,59011.68324835204,67.80664502301744,10.064293603622216,204297.71094427162,602.5642713788468
3.7,1.9371667484673616,80068.93615697196,76.2326348069671,10.23090714560541,277198.89308955363,678.5627052631099
3.8,1.5162936465716457,108640.08929093335,85.70567984361534,10.392687422533664,376113.54486101185,764.0050812165841
3.9,1.1815066033144337,147406.3421799851,96.3558924082337,10.54972917048202,510324.102867747,860.0649502882618
4.0,0.9742630715531934,200005.63196054217,108.3295531723008,10.702126299473967,692425.2735021731,968.0616947970119
4.1,0.9330916875917916,271374.0279037146,121.79112036855098,10.849971896886029,939505.9565641127,1089.478650047963
4.2,0.9149788383440696,368208.94641214435,136.92548862483088,10.993358233654485,1274752.9169744507,1225.9834779431887
4.3,0.9091489818244056,499597.65591880755,153.9405284918452,11.132376772723804,1729626.6977636735,1379.4510723182257
4.4,0.90893560548384,677870.0524027664,173.0699415452088,11.267118179299286,2346813.968294718,1551.9893106092466
4.5,0.9106181211179034,919755.7324392364,194.5764702766282,11.397672332558372,3184233.364604272,1745.968005550013
4.6,0.912307152472682,1247953.9468609004,218.7555068620735,11.52412833855799,4320470.741490019,1964.0514545502076
4.7,0.9131554318362128,1693263.7640163745,245.93915037336748,11.64657454412682,5862153.896097724,2209.2350338208275
4.8,0.9128708122501852,2297474.3432984017,276.5007681589958,11.765098551588526,7953958.828369505,2484.8863398669723
4.9,0.9114372646001112,3117286.5505573982,310.86012404470716,11.879787234185452,10792186.554733967,2794.7914434264603
5.0,0.9089626594171673,4229633.931117149,349.4891437897313,11.990726752119002,14643184.562447427,3143.206891152056
5.1,0.9055992476371696,5738902.375868735,392.91839698717143,12.098002569126086,19868341.627067257,3534.918169280553
5.2,0.9015043154866944,7786725.994760732,441.74438443745686,12.20169946954294,26958001.578918993,3975.3054322870603
5.3,0.8968223986368329,10565278.470746571,496.6377310869425,12.301901575820017,36577478.58435254,4470.417399307669
5.4,0.8916786972593065,14335307.193232141,558.3523970616711,12.398692366450083,49629492.14868401,5027.05443329791
5.5,0.8861780443826845,19450602.546192225,627.736033309835,12.49215469430112,67338880.9218228,5652.861944019116
5.6,0.8804064107803344,26391198.619625676,705.7416240877037,12.582370805332593,91367545.09477748,6356.4353977428955
5.7,0.8744333779674737,35808420.99500345,793.440576198554,12.669422357688362,123970403.91350812,7147.438375981902
5.8,0.8683147977871423,48586009.01900156,892.0374347653014,12.753390441168866,168207003.81365675,8036.735304783611
5.9,0.8620952776371189,65923048.456224784,1002.8864276579837,12.834355597074804,228228635.09470418,9036.540677624069
6.0,0.8558103497729731,89446497.1605743,1127.5100658137922,12.912397838430556,309667900.99149084,10160.586821477918
6.1,0.8494882931118364,121363863.49926396,1267.6200549250714,12.987596670590566,420167297.4299509,11424.3125103319
6.2,0.8431516273327451,164670365.31376007,1425.1408057173078,13.060031112237612,570096406.9179786,12845.075016748298
6.3,0.8368183197169022,223430009.8128596,1602.2358657307836,13.129779716779447,773525010.1175601,14442.388514006649
6.4,0.8305027503228323,303156971.7468977,1801.3376356464387,13.196920594160206,1049543434.6986706,16238.192103277308
