window_size,dp_x,dp_xy,J
1,-1.3,0.6,0.19202192893397219
1,-1.3,0.6333333333333333,0.2075728212536345
1,-1.3,0.6666666666666666,0.23108709237784386
1,-1.3,0.7,0.26316709527840687
1,-1.3,0.7333333333333333,0.30445806345841236
1,-1.3,0.7666666666666667,0.3556513787259314
1,-1.3,0.8,0.417488114600371
1,-1.3,0.8333333333333334,0.4907628813434195
1,-1.3,0.8666666666666667,0.5763280013484819
1,-1.3,0.9,0.6750980466868112
1,-1.3,0.9333333333333333,0.7880547740372467
1,-1.3,0.9666666666666667,0.9162524960676331
1,-1.3,1.0,1.0608239326445326
1,-1.25,-1.0,2.837112909557648
1,-1.25,-0.9666666666666667,2.7663529039251213
1,-1.25,-0.9333333333333333,2.6952457581405698
1,-1.25,-0.9,2.623814776851894
1,-1.25,-0.8666666666666667,2.552085174819818
1,-1.25,-0.8333333333333334,2.4800841987829854
1,-1.25,-0.8,2.4078412570763303
1,-1.25,-0.7666666666666667,2.3353880575229162
1,-1.25,-0.7333333333333333,2.2627587541569385
1,-1.25,-0.7,2.189990103376117
1,-1.25,-0.6666666666666666,2.1171216301653506
1,-1.25,-0.6333333333333333,2.0441958050806943
1,-1.25,-0.6,1.9712582327335817
1,-1.25,-0.5666666666666667,1.8983578525702878
1,-1.25,-0.5333333333333333,1.825547152801014
1,-1.25,-0.5,1.7528823983973703
1,-1.25,-0.4666666666666667,1.6804238741465114
1,-1.25,-0.43333333333333335,1.6082361438256003
1,-1.25,-0.4,1.53638832664181
1,-1.25,-0.36666666666666664,1.464954392171528
1,-1.25,-0.3333333333333333,1.3940134751283344
1,-1.25,-0.3,1.3236502113933448
1,-1.25,-0.26666666666666666,1.2539550968544757
1,-1.25,-0.23333333333333334,1.1850248707239024
1,-1.25,-0.2,1.1169629251363176
1,-1.25,-0.16666666666666666,1.0498797429756628
1,-1.25,-0.13333333333333333,0.9838933660358371
1,-1.25,-0.1,0.9191298957927758
1,-1.25,-0.06666666666666667,0.8557240292525776
1,-1.25,-0.03333333333333333,0.7938196325445779
1,-1.25,0.0,0.733570355151089
1,-1.25,0.03333333333333333,0.6751402879087901
1,-1.25,0.06666666666666667,0.6187046681825746
1,-1.25,0.1,0.5644506359032772
1,-1.25,0.13333333333333333,0.5125780444787044
1,-1.25,0.16666666666666666,0.46330033093557454
1,-1.25,0.2,0.4168454500315303
1,-1.25,0.23333333333333334,0.3734568774947964
1,-1.25,0.26666666666666666,0.33339468800827976
1,-1.25,0.3,0.2969367140592927
1,-1.25,0.3333333333333333,0.2643797923305256
1,-1.25,0.36666666666666664,0.2360411049179291
1,-1.25,0.4,0.21225962333282658
1,-1.25,0.43333333333333335,0.19339766398584762
1,-1.25,0.4666666666666667,0.17984256466776544
1,-1.25,0.5,0.1720200448891193
1,-1.25,0.5333333333333333,0.17061617211835137
1,-1.25,0.5666666666666667,0.1758616590160663
1,-1.25,0.6,0.18825194737557036
1,-1.25,0.6333333333333333,0.20832965187920435
1,-1.25,0.6666666666666666,0.23667566767252002
1,-1.25,0.7,0.27391204938012775
1,-1.25,0.7333333333333333,0.32070512922056166
1,-1.25,0.7666666666666667,0.37776889638375477
1,-1.25,0.8,0.445868662131847
1,-1.25,0.8333333333333334,0.5258250376451136
1,-1.25,0.8666666666666667,0.6185182544946713
1,-1.25,0.9,0.724892860820895
1,-1.25,0.9333333333333333,0.8459628298753197
1,-1.25,0.9666666666666667,0.9828171215946463
1,-1.25,1.0,1.1366257423762625
1,-1.2,-1.0,2.7770771051953895
1,-1.2,-0.9666666666666667,2.706195636937327
1,-1.2,-0.9333333333333333,2.6349856842231403
1,-1.2,-0.9,2.5634717223466286
1,-1.2,-0.8666666666666667,2.4916802015529997
1,-1.2,-0.8333333333333334,2.4196396726613196
1,-1.2,-0.8,2.3473809206759153
1,-1.2,-0.7666666666666667,2.274937106923019
1,-1.2,-0.7333333333333333,2.2023439202877584
1,-1.2,-0.7,2.1296397381683367
1,-1.2,-0.6666666666666666,2.056865797809457
1,-1.2,-0.6333333333333333,1.9840663787255932
1,-1.2,-0.6,1.9112889969774356
1,-1.2,-0.5666666666666667,1.838584612121566
1,-1.2,-0.5333333333333333,1.7660078477149008
1,-1.2,-0.5,1.693617226321826
1,-1.2,-0.4666666666666667,1.6214754200439203
1,-1.2,-0.43333333333333335,1.5496495176699567
1,-1.2,-0.4,1.4782113096282747
1,-1.2,-0.36666666666666664,1.407237592014945
1,-1.2,-0.3333333333333333,1.3368104910704468
1,-1.2,-0.3,1.2670178095850304
1,-1.2,-0.26666666666666666,1.1979533968298608
1,-1.2,-0.23333333333333334,1.1297175437379592
1,-1.2,-0.2,1.0624174051968893
1,-1.2,-0.16666666666666666,0.9961674514653269
1,-1.2,-0.13333333333333333,0.9310899508889291
1,-1.2,-0.1,0.8673154862689193
1,-1.2,-0.06666666666666667,0.8049835074307043
1,-1.2,-0.03333333333333333,0.7442429227513243
1,-1.2,0.0,0.6852527326353268
1,-1.2,0.03333333333333333,0.6281827081807255
1,-1.2,0.06666666666666667,0.5732141185520874
1,-1.2,0.1,0.5205405108790598
1,-1.2,0.13333333333333333,0.4703685468282683
1,-1.2,0.16666666666666666,0.4229189003575399
1,-1.2,0.2,0.3784272215571538
1,-1.2,0.23333333333333334,0.3371451719168194
1,-1.2,0.26666666666666666,0.299341536833596
1,-1.2,0.3,0.26530342169941284
1,-1.2,0.3333333333333333,0.23533753848244363
1,-1.2,0.36666666666666664,0.20977159034998186
1,-1.2,0.4,0.1889557625780861
1,-1.2,0.43333333333333335,0.17326432876231668
1,-1.2,0.4666666666666667,0.16309738219334877
1,-1.2,0.5,0.15889425564362727
1,-1.2,0.5333333333333333,0.16135555202865823
1,-1.2,0.5666666666666667,0.17072751150855017
1,-1.2,0.6,0.18752217125719436
1,-1.2,0.6333333333333333,0.21229989158082102
1,-1.2,0.6666666666666666,0.24566055302169626
1,-1.2,0.7,0.2882465327733412
1,-1.2,0.7333333333333333,0.34074592884432714
1,-1.2,0.7666666666666667,0.40389605500054904
1,-1.2,0.8,0.47848723191027026
1,-1.2,0.8333333333333334,0.5653669025867949
1,-1.2,0.8666666666666667,0.6654441032067496
1,-1.2,0.9,0.7796943237183656
1,-1.2,0.9333333333333333,0.9091647963900397
1,-1.2,0.9666666666666667,1.0549802546380778
1,-1.2,1.0,1.218349209174542
1,-1.15,-1.0,2.7170613084894106
1,-1.15,-0.9666666666666667,2.646075754304567
1,-1.15,-0.9333333333333333,2.5747811955232853
1,-1.15,-0.9,2.503203316059264
1,-1.15,-0.8666666666666667,2.4313698415533165
1,-1.15,-0.8333333333333334,2.3593106688642322
1,-1.15,-0.8,2.2870580037913606
1,-1.15,-0.7666666666666667,2.2146465075818518
1,-1.15,-0.7333333333333333,2.14211345281557
1,-1.15,-0.7,2.0694988893038313
1,-1.15,-0.6666666666666666,1.9968458206846964
1,-1.15,-0.6333333333333333,1.924200392447826
1,-1.15,-0.6,1.851612092176213
1,-1.15,-0.5666666666666667,1.77913396285088
1,-1.15,-0.5333333333333333,1.7068228301279165
1,-1.15,-0.5,1.6347395445661226
1,-1.15,-0.4666666666666667,1.5629492398575908
1,-1.15,-0.43333333333333335,1.4915216081942322
1,-1.15,-0.4,1.4205311939902803
1,-1.15,-0.36666666666666664,1.35005770727543
1,-1.15,-0.3333333333333333,1.280186358175775
1,-1.15,-0.3,1.211008214010926
1,-1.15,-0.26666666666666666,1.142620580656653
1,-1.15,-0.23333333333333334,1.0751274099535932
1,-1.15,-0.2,1.0086397350854255
1,-1.15,-0.16666666666666666,0.9432761360052119
1,-1.15,-0.13333333333333333,0.8791632371577025
1,-1.15,-0.1,0.8164362399296464
1,-1.15,-0.06666666666666667,0.7552394924609142
1,-1.15,-0.03333333333333333,0.6957270996682722
1,-1.15,0.0,0.6380635765727428
1,-1.15,0.03333333333333333,0.5824245482825828
1,-1.15,0.06666666666666667,0.5289975002693504
1,-1.15,0.1,0.4779825828867539
1,-1.15,0.13333333333333333,0.4295934744236878
1,-1.15,0.16666666666666666,0.3840583073572835
1,-1.15,0.2,0.3416206628821665
1,-1.15,0.23333333333333334,0.3025406392424327
1,-1.15,0.26666666666666666,0.26709599988726285
1,-1.15,0.3,0.23558340801439615
1,-1.15,0.3333333333333333,0.20831975466324454
1,-1.15,0.36666666666666664,0.18564358817714724
1,-1.15,0.4,0.1679166535789001
1,-1.15,0.43333333333333335,0.15552555120267944
1,-1.15,0.4666666666666667,0.14888352480827524
1,-1.15,0.5,0.1484439428229538
1,-1.15,0.5333333333333333,0.15492239561496066
1,-1.15,0.5666666666666667,0.1685811348506885
1,-1.15,0.6,0.18994931170063126
1,-1.15,0.6333333333333333,0.21960558817095768
1,-1.15,0.6666666666666666,0.2581694268557125
1,-1.15,0.7,0.3063041681671188
1,-1.15,0.7333333333333333,0.36472036429269106
1,-1.15,0.7666666666666667,0.4341793938111485
1,-1.15,0.8,0.5154973833951932
1,-1.15,0.8333333333333334,0.6095494658141511
1,-1.15,0.8666666666666667,0.7172744065615994
1,-1.15,0.9,0.8396796349149791
1,-1.15,0.9333333333333333,0.9778467191345431
1,-1.15,0.9666666666666667,1.132937329883656
1,-1.15,1.0,1.3061997408654058
1,-1.1,-1.0,2.6570841650299717
1,-1.1,-0.9666666666666667,2.5860125861482555
1,-1.1,-0.9333333333333333,2.514652332097592
1,-1.1,-0.9,2.4430303344792796
1,-1.1,-0.8666666666666667,2.3711756353900246
1,-1.1,-0.8333333333333334,2.299119520895471
1,-1.1,-0.8,2.226895662985596
1,-1.1,-0.7666666666666667,2.1545402705820456
1,-1.1,-0.7333333333333333,2.0820922502088677
1,-1.1,-0.7,2.0095933769827954
1,-1.1,-0.6666666666666666,1.9370884766270553
1,-1.1,-0.6333333333333333,1.8646256192648882
1,-1.1,-0.6,1.7922563258048774
1,-1.1,-0.5666666666666667,1.7200357877909096
1,-1.1,-0.5333333333333333,1.6480231016551319
1,-1.1,-0.5,1.5762815183831784
1,-1.1,-0.4666666666666667,1.5048787096778193
1,-1.1,-0.43333333333333335,1.4338870517902347
1,-1.1,-0.4,1.3633839282783735
1,-1.1,-0.36666666666666664,1.2934520530494666
1,-1.1,-0.3333333333333333,1.2241798151498966
1,-1.1,-0.3,1.1556616468806218
1,-1.1,-0.26666666666666666,1.0879984169414116
1,-1.1,-0.23333333333333334,1.0212978504430084
1,-1.1,-0.2,0.9556749777740302
1,-1.1,-0.16666666666666666,0.8912526144702336
1,-1.1,-0.13333333333333333,0.8281618744087746
1,-1.1,-0.1,0.7665427188408347
1,-1.1,-0.06666666666666667,0.7065445439838832
1,-1.1,-0.03333333333333333,0.6483268101217486
1,-1.1,0.0,0.5920597154082434
1,-1.1,0.03333333333333333,0.5379249178407397
1,-1.1,0.06666666666666667,0.48611630916581555
1,-1.1,0.1,0.43684084480275265
1,-1.1,0.13333333333333333,0.39031943422496407
1,-1.1,0.16666666666666666,0.3467878966276646
1,-1.1,0.2,0.30649798713578197
1,-1.1,0.23333333333333334,0.2697184992732856
1,-1.1,0.26666666666666666,0.23673644992815365
1,-1.1,0.3,0.20785835361115954
1,-1.1,0.3333333333333333,0.18341159342704003
1,-1.1,0.36666666666666664,0.16374589685965596
1,-1.1,0.4,0.14923492522547427
1,-1.1,0.43333333333333335,0.14027798647988063
1,-1.1,0.4666666666666667,0.13730188197830806
1,-1.1,0.5,0.14077445125214502
1,-1.1,0.5333333333333333,0.15142673816108493
1,-1.1,0.5666666666666667,0.1695375049795133
1,-1.1,0.6,0.19565355174116367
1,-1.1,0.6333333333333333,0.23037241573778988
1,-1.1,0.6666666666666666,0.27433375715273445
1,-1.1,0.7,0.3282225406477262
1,-1.1,0.7333333333333333,0.3927724829965979
1,-1.1,0.7666666666666667,0.4687697916373722
1,-1.1,0.8,0.5570572216164696
1,-1.1,0.8333333333333334,0.6585384813033596
1,-1.1,0.8666666666666667,0.7741830205009317
1,-1.1,0.9,0.9050312382110162
1,-1.1,0.9333333333333333,1.0522001513869625
1,-1.1,0.9666666666666667,1.2168895705746838
1,-1.1,1.0,1.4003888334775028
1,-1.05,-1.0,2.597164990545577
1,-1.05,-0.9666666666666667,2.5260261527239236
1,-1.05,-0.9333333333333333,2.454619844833693
1,-1.05,-0.9,2.3829742863553562
1,-1.05,-0.8666666666666667,2.311119878082602
1,-1.05,-0.8333333333333334,2.2390893396962555
1,-1.05,-0.8,2.1669178560776117
1,-1.05,-0.7666666666666667,2.094643232949187
1,-1.05,-0.7333333333333333,2.0223060624733176
1,-1.05,-0.7,1.9499498994852082
1,-1.05,-0.6666666666666666,1.877621449086673
1,-1.05,-0.6333333333333333,1.8053707663803373
1,-1.05,-0.6,1.73325146918218
1,-1.05,-0.5666666666666667,1.6613209646127929
1,-1.05,-0.5333333333333333,1.5896406905355744
1,-1.05,-0.5,1.5182763728833164
1,-1.05,-0.4666666666666667,1.4472982999940465
1,-1.05,-0.43333333333333335,1.3767816151629273
1,-1.05,-0.4,1.306806628710228
1,-1.05,-0.36666666666666664,1.2374591509663808
1,-1.05,-0.3333333333333333,1.168830847684837
1,-1.05,-0.3,1.1010196195123827
1,-1.05,-0.26666666666666666,1.0341300072760056
1,-1.05,-0.23333333333333334,0.9682736249858447
