start_index,direction,t,ratio
1,5,8.2,0.09988709280625907
1,5,8.3,0.09912700601066717
1,5,8.4,0.09837735950236692
1,5,8.5,0.09763819389914828
1,5,8.6,0.09690955252780732
1,5,8.7,0.09619148150874779
1,5,8.8,0.09548402983937831
1,5,8.9,0.09478724948694163
1,5,9.0,0.09410119547664587
1,5,9.1,0.09342592599043725
1,5,9.2,0.09276150246718402
1,5,9.3,0.09210798970604103
1,5,9.4,0.09146545597568366
1,5,9.5,0.09083397312897203
1,5,9.6,0.09021361672198468
1,5,9.7,0.08960446613863897
1,5,9.8,0.08900660472215872
1,5,9.9,0.08842011991176452
1,5,10.0,0.08784510338653381
1,6,0.0,1.0000000000000542
1,6,0.1,0.9154911114154989
1,6,0.2,0.8708021818837498
1,6,0.3,0.8505752546078157
1,6,0.4,0.8435447999355378
1,6,0.5,0.8426186947404802
1,6,0.6,0.8438170260075414
1,6,0.7,0.845122149961668
1,6,0.8,0.8456343837371051
1,6,0.9,0.8450457159895285
1,6,1.0,0.8433388407013276
1,6,1.1,0.8406243327122906
1,6,1.2,0.8370567221626348
1,6,1.3,0.8327937670767365
1,6,1.4,0.8279786013952702
1,6,1.5,0.822733557457131
1,6,1.6,0.8171596335721024
1,6,1.7,0.8113384380044228
1,6,1.8,0.8053349965416082
1,6,1.9,0.7992006436223889
1,6,2.0,0.7929756539379287
1,6,2.1,0.7866914939014658
1,6,2.2,0.7803726801827862
1,6,2.3,0.7740382800669618
1,6,2.4,0.7677031052628045
1,6,2.5,0.761378652714562
1,6,2.6,0.7550738413088448
1,6,2.7,0.7487955863325788
1,6,2.8,0.7425492462277046
1,6,2.9,0.7363389694886412
1,6,3.0,0.7301679638211456
1,6,3.1,0.7240387049568878
1,6,3.2,0.7179530986999527
1,6,3.3,0.7119126067614046
1,6,3.4,0.7059183445630072
1,6,3.5,0.6999711573411426
1,6,3.6,0.69407167943756
1,6,3.7,0.688220380559633
1,6,3.8,0.6824176019245863
1,6,3.9,0.6766635845499759
1,6,4.0,0.6709584914291222
1,6,4.1,0.665302424950294
1,6,4.2,0.6596954405997365
1,6,4.3,0.6541375577680744
1,6,4.4,0.6486287682860208
1,6,4.5,0.6431690431847027
1,6,4.6,0.6377583380629797
1,6,4.7,0.6323965973591202
1,6,4.8,0.6270837577609578
1,6,4.9,0.6218197509390713
1,6,5.0,0.616604505744504
1,6,5.1,0.6114379499839332
1,6,5.2,0.6063200118609571
1,6,5.3,0.6012506211549674
1,6,5.4,0.5962297101890699
1,6,5.5,0.5912572146334106
1,6,5.6,0.5863330741789595
1,6,5.7,0.5814572331051314
1,6,5.8,0.5766296407678769
1,6,5.9,0.5718502520226519
1,6,6.0,0.567119027596454
1,6,6.1,0.5624359344204746
1,6,6.2,0.5578009459312564
1,6,6.3,0.5532140423503468
1,6,6.4,0.5486752109443107
1,6,6.5,0.5441844462726141
1,6,6.6,0.5397417504258436
1,6,6.7,0.5353471332575885
1,6,6.8,0.5310006126129271
1,6,6.9,0.5267022145557483
1,6,7.0,0.5224519735961929
1,6,7.1,0.5182499329205416
1,6,7.2,0.5140961446224196
1,6,7.3,0.5099906699399342
1,6,7.4,0.5059335794981761
1,6,7.5,0.5019249535572994
1,6,7.6,0.49796488226681107
1,6,7.7,0.4940534659303923
1,6,7.8,0.4901908152749436
1,6,7.9,0.4863770517328162
1,6,8.0,0.4826123077321309
1,6,8.1,0.4788967269967854
1,6,8.2,0.4752304648597296
1,6,8.3,0.47161368858717634
1,6,8.4,0.46804657771458363
1,6,8.5,0.4645293243985404
1,6,8.6,0.4610621337794937
1,6,8.7,0.4576452243631079
1,6,8.8,0.45427882841391676
1,6,8.9,0.4509631923699822
1,6,9.0,0.4476985772713424
1,6,9.1,0.44448525921040766
1,6,9.2,0.4413235298018113
1,6,9.3,0.438213696672413
1,6,9.4,0.4351560839743067
1,6,9.5,0.4321510329237528
1,6,9.6,0.4291989023638165
1,6,9.7,0.42630006935388365
1,6,9.8,0.4234549297918074
1,6,9.9,0.4206638990606126
1,6,10.0,0.4179274127156343
21,1,0.0,1.0000000000000195
21,1,0.1,1.0017834163506416
21,1,0.2,1.0053511396641872
21,1,0.3,1.0108628718569181
21,1,0.4,1.0185071365196559
21,1,0.5,1.028505122937991
21,1,0.6,1.041114776414679
21,1,0.7,1.0566349181404917
21,1,0.8,1.075409009566984
21,1,0.9,1.0978279192365024
21,1,1.0,1.1243306660514705
21,1,1.1,1.1554015514782556
21,1,1.2,1.1915612915382725
21,1,1.3,1.23334864812312
21,1,1.4,1.2812875795998167
21,1,1.5,1.3358330790127697
21,1,1.6,1.3972867895190486
21,1,1.7,1.465671656658904
21,1,1.8,1.5405544152349437
21,1,1.9,1.6208078387119316
21,1,2.0,1.7043152188922999
21,1,2.1,1.787642948283675
21,1,2.2,1.8657488667074869
21,1,2.3,1.9318546119938906
21,1,2.4,1.9776744259550498
21,1,2.5,1.9942171987819604
21,1,2.6,1.9732907111601394
21,1,2.7,1.909575280640334
21,1,2.8,1.8027376457202768
21,1,2.9,1.6587426551118563
21,1,3.0,1.4896026553362278
21,1,3.1,1.3113916632809535
21,1,3.2,1.1411086711570184
21,1,3.3,0.9933461948366991
21,1,3.4,0.8775490150752812
21,1,3.5,0.7964477766363995
21,1,3.6,0.7463682855838785
21,1,3.7,0.7196589701308658
21,1,3.8,0.7079721563541843
21,1,3.9,0.7045380832554221
21,1,4.0,0.7048262876652277
21,1,4.1,0.706206709964919
21,1,4.2,0.7073388523266202
21,1,4.3,0.7076488202668104
21,1,4.4,0.7069754886796739
21,1,4.5,0.7053583344158144
21,1,4.6,0.702919997557296
21,1,4.7,0.6998057282153345
21,1,4.8,0.6961547987518724
21,1,4.9,0.6920889456301201
21,1,5.0,0.687709376610981
21,1,5.1,0.683097744213976
21,1,5.2,0.6783186872105439
21,1,5.3,0.6734227527773216
21,1,5.4,0.6684491577037758
21,1,5.5,0.6634281793433561
21,1,5.6,0.6583831296890184
21,1,5.7,0.653331939150936
21,1,5.8,0.6482884042385457
21,1,5.9,0.6432631588290911
21,1,6.0,0.6382644243607615
21,1,6.1,0.6332985863430453
21,1,6.2,0.628370636012833
21,1,6.3,0.6234845081067526
21,1,6.4,0.6186433390278704
21,1,6.5,0.6138496642194777
21,1,6.6,0.6091055692234051
21,1,6.7,0.604412805494922
21,1,6.8,0.5997728794299929
21,1,6.9,0.5951871210344536
21,1,7.0,0.590656737136309
21,1,7.1,0.5861828528635052
21,1,7.2,0.581766544223246
21,1,7.3,0.5774088639422849
21,1,7.4,0.5731108622168001
21,1,7.5,0.5688736036312694
21,1,7.6,0.5646981812134747
21,1,7.7,0.5605857283690763
21,1,7.8,0.5565374292690228
21,1,7.9,0.5525545281369897
21,1,8.0,0.5486383377854215
21,1,8.1,0.544790247678201
21,1,8.2,0.5410117317394543
21,1,8.3,0.5373043560865781
21,1,8.4,0.5336697868414515
21,1,8.5,0.5301097981395854
21,1,8.6,0.5266262804540212
21,1,8.7,0.523221249325593
21,1,8.8,0.5198968545997734
21,1,8.9,0.5166553902489515
21,1,9.0,0.5134993048720917
21,1,9.1,0.5104312129580301
21,1,9.2,0.5074539069976414
21,1,9.3,0.5045703705440165
21,1,9.4,0.5017837923184055
21,1,9.5,0.4990975814675809
21,1,9.6,0.4965153840916873
21,1,9.7,0.49404110116782624
21,1,9.8,0.49167890801042535
21,1,9.9,0.48943327541983533
21,1,10.0,0.48730899269152156
21,2,0.0,1.000000000000027
21,2,0.1,0.9710500191090723
21,2,0.2,0.9446259465609309
21,2,0.3,0.9214823547627815
21,2,0.4,0.9026153519455705
21,2,0.5,0.889305009349875
21,2,0.6,0.8831441755858643
21,2,0.7,0.8860379153250478
21,2,0.8,0.9001576165090103
21,2,0.9,0.9278432801541606
21,2,1.0,0.9714680447195415
21,2,1.1,1.033301429311167
21,2,1.2,1.115413948408203
21,2,1.3,1.2196444376259437
21,2,1.4,1.3476131715031983
21,2,1.5,1.500732459138089
21,2,1.6,1.6801555937977428
21,2,1.7,1.886609860359939
21,2,1.8,2.1200683248059424
21,2,1.9,2.379224379615778
21,2,2.0,2.6607501689477377
21,2,2.1,2.9583619953816456
21,2,2.2,3.2618038321235234
21,2,2.3,3.556008636300592
21,2,2.4,3.8208895462831562
21,2,2.5,4.032363375187992
21,2,2.6,4.16513934644766
21,2,2.7,4.19731011579997
21,2,2.8,4.11583500543142
21,2,2.9,3.921021517615326
21,2,3.0,3.627890361878676
21,2,3.1,3.2633994998667246
21,2,3.2,2.8604468000148544
21,2,3.3,2.4510516555735813
21,2,3.4,2.0611340580439372
21,2,3.5,1.7080863786560063
21,2,3.6,1.4009137890668744
21,2,3.7,1.1419298320367712
21,2,3.8,0.9289471035006603
21,2,3.9,0.7572594050614619
21,2,4.0,0.6211147623366252
21,2,4.1,0.5146546282459075
21,2,4.2,0.432425729435642
21,2,4.3,0.3696041596846924
21,2,4.4,0.32205506184101873
21,2,4.5,0.2863155628644318
21,2,4.6,0.2595494551280968
21,2,4.7,0.23949072198161916
21,2,4.8,0.22437715879053538
21,2,4.9,0.2128742309557339
21,2,5.0,0.20399427197342565
21,2,5.1,0.19701897284682202
21,2,5.2,0.1914317241464053
21,2,5.3,0.18686290180267723
21,2,5.4,0.18304807509571272
21,2,5.5,0.17979733999398456
21,2,5.6,0.17697340202559414
21,2,5.7,0.1744761563342348
21,2,5.8,0.17223192080777958
21,2,5.9,0.17018592952814388
21,2,6.0,0.1682970838537956
21,2,6.1,0.16653425962285934
21,2,6.2,0.1648736875826378
21,2,6.3,0.1632970772361948
21,2,6.4,0.1617902592723608
21,2,6.5,0.1603421929592717
21,2,6.6,0.15894423294471174
21,2,6.7,0.15758958238657692
21,2,6.8,0.15627288135929496
21,2,6.9,0.15498989448655107
21,2,7.0,0.15373727209514904
21,2,7.1,0.1525123663574169
21,2,7.2,0.15131308891879774
21,2,7.3,0.15013780007273703
21,2,7.4,0.14898522210541515
21,2,7.5,0.14785437128566983
21,2,7.6,0.14674450432029204
21,2,7.7,0.1456550761047033
21,2,7.8,0.14458570633549778
21,2,7.9,0.14353615311448917
21,2,8.0,0.14250629209652
21,2,8.1,0.141496100058448
21,2,8.2,0.1405056420047321
21,2,8.3,0.1395350611292787
21,2,8.4,0.1385845710913062
21,2,8.5,0.13765445018037137
21,2,8.6,0.13674503704214958
21,2,8.7,0.13585672769478324
21,2,8.8,0.13498997364134963
21,2,8.9,0.134145280907043
21,2,9.0,0.1333232098853339
21,2,9.1,0.13252437589171645
21,2,9.2,0.13174945035795413
21,2,9.3,0.1309991626091786
21,2,9.4,0.1302743021954541
21,2,9.5,0.12957572174795284
21,2,9.6,0.12890434035304663
21,2,9.7,0.1282611474440869
21,2,9.8,0.12764720722043144
21,2,9.9,0.12706366360790866
21,2,10.0,0.12651174579114335
21,3,0.0,0.9999999999999929
21,3,0.1,1.0527146947508637
21,3,0.2,1.1109484339914972
21,3,0.3,1.17539274616354
21,3,0.4,1.2468393464071272
21,3,0.5,1.326194254129733
21,3,0.6,1.414493068196141
21,3,0.7,1.5129169044471211
21,3,0.8,1.6228080445115225
21,3,0.9,1.7456836238611173
21,3,1.0,1.8832445696193274
21,3,1.1,2.0373753003426014
21,3,1.2,2.2101271732651515
21,3,1.3,2.4036750007028154
21,3,1.4,2.6202308238147065
21,3,1.5,2.8618922889365304
21,3,1.6,3.1303945527981143
21,3,1.7,3.426725736364571
21,3,1.8,3.750559662265933
21,3,1.9,4.09946276965125
21,3,2.0,4.467857333775734
21,3,2.1,4.845790038776988
21,3,2.2,5.217686689168059
21,3,2.3,5.561481851492685
21,3,2.4,5.848761606196861
21,3,2.5,6.046717753157406
21,3,2.6,6.1225360730128555
21,3,2.7,6.050071383605089
21,3,2.8,5.81732733198645
21,3,2.9,5.432001235880278
21,3,3.0,4.922281691259082
21,3,3.1,4.3318398155121045
21,3,3.2,3.7107247353412576
21,3,3.3,3.1057569213067855
21,3,3.4,2.553725561231572
21,3,3.5,2.0787239831868733
21,3,3.6,1.6928404950917704
21,3,3.7,1.3983066137539975
21,3,3.8,1.1893909488484304
21,3,3.9,1.0537095275042707
21,3,4.0,0.9742630715531934
21,3,4.1,0.9330916875917917
