param,window_size,window,t,v,w,is_node
wrong,25,1,2.1,-1.8978548336658434,0.5868105004283968,false
wrong,25,1,2.2,-1.891223391856262,0.5715580153424239,false
wrong,25,1,2.3,-1.8845515709314031,0.5564783555689014,false
wrong,25,1,2.4,-1.8778492666802362,0.5415705766159331,false
wrong,25,1,2.5,-1.8711241960097587,0.5268336606296959,false
wrong,25,1,2.6,-1.8643823826912347,0.5122665345793043,false
wrong,25,1,2.7,-1.857628532273865,0.49786808438685204,false
wrong,25,1,2.8,-1.8508663219184265,0.4836371659248318,false
wrong,25,1,2.9,-1.8440986248383624,0.4695726135893934,false
wrong,25,1,3.0,-1.8373276844089828,0.45567324699444006,false
wrong,25,1,3.1,-1.8305552494768953,0.44193787620643316,false
wrong,25,1,3.2,-1.8237826797102692,0.42836530584389904,false
wrong,25,1,3.3,-1.8170110277763003,0.414954338292069,false
wrong,25,1,3.4,-1.810241103563019,0.40170377622656495,false
wrong,25,1,3.5,-1.8034735244625497,0.3886124245965506,false
wrong,25,1,3.6,-1.7967087548140253,0.3756790921842476,false
wrong,25,1,3.7,-1.7899471368997706,0.36290259283183474,false
wrong,25,1,3.8,-1.7831889153472393,0.3502817464067319,false
wrong,25,1,3.9,-1.7764342563729847,0.33781537956076385,false
wrong,25,1,4.0,-1.7696832629842463,0.3255023263266606,false
wrong,25,1,4.1,-1.7629359870062413,0.31334142858599134,false
wrong,25,1,4.2,-1.75619243861189,0.30133153643533805,false
wrong,25,1,4.3,-1.749452593882505,0.2894715084718233,false
wrong,25,1,4.4,-1.7427164008129874,0.2777602120146579,false
wrong,25,1,4.5,-1.735983784085676,0.26619652327588755,false
wrong,25,1,4.6,-1.7292546488674143,0.25477932749078347,false
wrong,25,1,4.7,-1.7225288838300918,0.2435075190161707,false
wrong,25,1,4.8,-1.7158063635524734,0.232380001403294,false
wrong,25,1,4.9,-1.7090869504279202,0.2213956874504856,false
wrong,25,1,5.0,-1.7023704961765271,0.21055349923984198,false
wrong,25,1,5.1,-1.6956568430397276,0.19985236816128127,false
wrong,25,1,5.2,-1.688945824719288,0.1892912349266889,false
wrong,25,1,5.3,-1.682237267109895,0.17886904957633326,false
wrong,25,1,5.4,-1.6755309888644927,0.16858477147931336,false
wrong,25,1,5.5,-1.6688268018235548,0.15843736932946656,false
wrong,25,1,5.6,-1.6621245113331853,0.14842582113789876,false
wrong,25,1,5.7,-1.6554239164719027,0.13854911422308602,false
