t,v,w,J11_prefix,J12_prefix,J21_prefix,J22_prefix,J11_fixed,J12_fixed,J21_fixed,J22_fixed,J11_exact,eig_re1_prefix,eig_im1_prefix,eig_re2_prefix,eig_im2_prefix,eig_re1_fixed,eig_im1_fixed,eig_re2_fixed,eig_im2_fixed,trace_prefix,trace_fixed,det_prefix,det_fixed
75.25,0.21957515509329203,1.3912982242512721,1.0,-1.0,0.08,-0.064,0.9517867512657567,-1.0,0.08,-0.064,0.9517867512657567,0.91858184606129,0.0,0.017418153938710032,0.0,0.865741311519449,0.0,0.022045439746307877,0.0,0.9359999999999999,0.8877867512657567,0.016,0.01908564791899157
75.5,0.029143034828179953,1.385640438615369,1.0,-1.0,0.08,-0.064,0.9991506835210034,-1.0,0.08,-0.064,0.9991506835210034,0.91858184606129,0.0,0.017418153938710032,0.0,0.917655716769004,0.0,0.01749496675199927,0.0,0.9359999999999999,0.9351506835210035,0.016,0.016054356254655785
75.75,-0.212725252931265,1.3758023616799298,1.0,-1.0,0.08,-0.064,0.9547479667653294,-1.0,0.08,-0.064,0.9547479667653294,0.91858184606129,0.0,0.017418153938710032,0.0,0.8690033673341597,0.0,0.021744599431169687,0.0,0.9359999999999999,0.8907479667653293,0.016,0.018896130127018913
76.0,-0.5150660974067017,1.3607272205375602,1.0,-1.0,0.08,-0.064,0.7347069153022301,-1.0,0.08,-0.064,0.7347069153022301,0.91858184606129,0.0,0.017418153938710032,0.0,0.6172810798130823,0.0,0.05342583548914784,0.0,0.9359999999999999,0.67070691530223,0.016,0.032978757420657284
76.25,-0.8709583892937314,1.3393252800266224,1.0,-1.0,0.08,-0.064,0.24143148411886917,-1.0,0.08,-0.064,0.24143148411886917,0.91858184606129,0.0,0.017418153938710032,0.0,0.08871574205943458,0.23807121230261385,0.08871574205943458,-0.23807121230261385,0.9359999999999999,0.17743148411886916,0.016,0.06454838501639237
76.5,-1.2402047147067543,1.3109711902577408,1.0,-1.0,0.08,-0.064,-0.5381077343808616,-1.0,0.08,-0.064,-0.5381077343808616,0.91858184606129,0.0,0.017418153938710032,0.0,-0.3010538671904308,0.15429019427708815,-0.3010538671904308,-0.15429019427708815,0.9359999999999999,-0.6021077343808616,0.016,0.11443889500037514
76.75,-1.5558699569479975,1.2761630413922058,1.0,-1.0,0.08,-0.064,-1.4207313229333636,-1.0,0.08,-0.064,-1.4207313229333636,0.91858184606129,0.0,0.017418153938710032,0.0,-0.12577830297063808,0.0,-1.3589530199627253,0.0,0.9359999999999999,-1.4847313229333636,0.016,0.17092680466773527
77.0,-1.7716287459932685,1.2366038703202147,1.0,-1.0,0.08,-0.064,-2.138668413629681,-1.0,0.08,-0.064,-2.138668413629681,0.91858184606129,0.0,0.017418153938710032,0.0,-0.10330502055415089,0.0,-2.09936339307553,0.0,0.9359999999999999,-2.2026684136296812,0.016,0.2168747784722996
77.25,-1.8917657728222126,1.1943840325399206,1.0,-1.0,0.08,-0.064,-2.578777739221623,-1.0,0.08,-0.064,-2.578777739221623,0.91858184606129,0.0,0.017418153938710032,0.0,-0.09622489306679219,0.0,-2.546552846154831,0.0,0.9359999999999999,-2.642777739221623,0.016,0.2450417753101839
77.5,-1.9475508226045974,1.1511459710157772,1.0,-1.0,0.08,-0.064,-2.792954206627844,-1.0,0.08,-0.064,-2.792954206627844,0.91858184606129,0.0,0.017418153938710032,0.0,-0.09363712583798824,0.0,-2.763317080789856,0.0,0.9359999999999999,-2.856954206627844,0.016,0.258749069224182
77.75,-1.9676696710776838,1.1078804757357972,1.0,-1.0,0.08,-0.064,-2.87172393447896,-1.0,0.08,-0.064,-2.87172393447896,0.91858184606129,0.0,0.017418153938710032,0.0,-0.09278799720677561,0.0,-2.842935937272184,0.0,0.9359999999999999,-2.93572393447896,0.016,0.26379033180665346
78.0,-1.9698342204371417,1.0651021898446522,1.0,-1.0,0.08,-0.064,-2.8802468560052015,-1.0,0.08,-0.064,-2.8802468560052015,0.91858184606129,0.0,0.017418153938710032,0.0,-0.09269905947426584,0.0,-2.8515477965309355,0.0,0.9359999999999999,-2.9442468560052015,0.016,0.2643357987843329
78.25,-1.9633304705611938,1.0230566838915125,1.0,-1.0,0.08,-0.064,-2.854666536634039,-1.0,0.08,-0.064,-2.854666536634039,0.91858184606129,0.0,0.017418153938710032,0.0,-0.09296767680343944,0.0,-2.8256988598305997,0.0,0.9359999999999999,-2.918666536634039,0.016,0.2626986583445785
78.5,-1.9527043886066808,0.9818536373815914,1.0,-1.0,0.08,-0.064,-2.813054429283791,-1.0,0.08,-0.064,-2.813054429283791,0.91858184606129,0.0,0.017418153938710032,0.0,-0.0934156713893638,0.0,-2.783638757894427,0.0,0.9359999999999999,-2.877054429283791,0.016,0.2600354834741626
78.75,-1.940126573414338,0.9415372323672182,1.0,-1.0,0.08,-0.064,-2.7640911208684606,-1.0,0.08,-0.064,-2.7640911208684606,0.91858184606129,0.0,0.017418153938710032,0.0,-0.09396108766433404,0.0,-2.734130033204126,0.0,0.9359999999999999,-2.8280911208684607,0.016,0.2569018317355815
79.0,-1.9266284911758889,0.9021206048055115,1.0,-1.0,0.08,-0.064,-2.711897343010682,-1.0,0.08,-0.064,-2.711897343010682,0.91858184606129,0.0,0.017418153938710032,0.0,-0.09456547817833734,0.0,-2.6813318648323445,0.0,0.9359999999999999,-2.775897343010682,0.016,0.25356142995268366
79.25,-1.9127024688248275,0.8636022413098515,1.0,-1.0,0.08,-0.064,-2.6584307342485904,-1.0,0.08,-0.064,-2.6584307342485904,0.91858184606129,0.0,0.017418153938710032,0.0,-0.09521074284229046,0.0,-2.6272199914063004,0.0,0.9359999999999999,-2.7224307342485905,0.016,0.25013956699190976
79.5,-1.898585458194935,0.8259737357716891,1.0,-1.0,0.08,-0.064,-2.6046267420692715,-1.0,0.08,-0.064,-2.6046267420692715,0.91858184606129,0.0,0.017418153938710032,0.0,-0.09588854060309918,0.0,-2.572738201466172,0.0,0.9359999999999999,-2.6686267420692715,0.016,0.2466961114924334
79.75,-1.8843925622040423,0.7892234728858587,1.0,-1.0,0.08,-0.064,-2.550935328489915,-1.0,0.08,-0.064,-2.550935328489915,0.91858184606129,0.0,0.017418153938710032,0.0,-0.09659532084008382,0.0,-2.5183400076498312,0.0,0.9359999999999999,-2.6149353284899153,0.016,0.2432598610233546
80.0,-1.8701801405806666,0.7533383919317059,1.0,-1.0,0.08,-0.064,-2.497573758222322,-1.0,0.08,-0.064,-2.497573758222322,0.91858184606129,0.0,0.017418153938710032,0.0,-0.09732994741610387,0.0,-2.464243810806218,0.0,0.9359999999999999,-2.561573758222322,0.016,0.2398447205262286
80.25,-1.8559758958098662,0.7183048397290751,1.0,-1.0,0.08,-0.064,-2.444646525827235,-1.0,0.08,-0.064,-2.444646525827235,0.91858184606129,0.0,0.017418153938710032,0.0,-0.09809254621676336,0.0,-2.410553979610472,0.0,0.9359999999999999,-2.5086465258272352,0.016,0.23645737765294303
80.5,-1.8417933718504134,0.6841089872100291,1.0,-1.0,0.08,-0.064,-2.392202824592115,-1.0,0.08,-0.064,-2.392202824592115,0.91858184606129,0.0,0.017418153938710032,0.0,-0.09888394072130557,0.0,-2.3573188838708097,0.0,0.9359999999999999,-2.4562028245921153,0.016,0.23310098077389535
80.75,-1.8276390230661959,0.6507370345637756,1.0,-1.0,0.08,-0.064,-2.3402643986343588,-1.0,0.08,-0.064,-2.3402643986343588,0.91858184606129,0.0,0.017418153938710032,0.0,-0.09970537493264922,0.0,-2.3045590237017093,0.0,0.9359999999999999,-2.404264398634359,0.016,0.22977692151259896
81.0,-1.813515702202906,0.6181753127379672,1.0,-1.0,0.08,-0.064,-2.2888392021364994,-1.0,0.08,-0.064,-2.2888392021364994,0.91858184606129,0.0,0.017418153938710032,0.0,-0.1005583791437657,0.0,-2.252280822992734,0.0,0.9359999999999999,-2.3528392021364994,0.016,0.22648570893673595
81.25,-1.7994244021110481,0.586410333531798,1.0,-1.0,0.08,-0.064,-2.2379281789127026,-1.0,0.08,-0.064,-2.2379281789127026,0.91858184606129,0.0,0.017418153938710032,0.0,-0.10144470813570372,0.0,-2.200483470776999,0.0,0.9359999999999999,-2.3019281789127026,0.016,0.22322740345041298
81.5,-1.7853651356551354,0.5554288138979414,1.0,-1.0,0.08,-0.064,-2.1875286676128796,-1.0,0.08,-0.064,-2.1875286676128796,0.91858184606129,0.0,0.017418153938710032,0.0,-0.10236631712698926,0.0,-2.1491623504858905,0.0,0.9359999999999999,-2.2515286676128796,0.016,0.2200018347272243
81.75,-1.771337385138289,0.5252176871681385,1.0,-1.0,0.08,-0.064,-2.1376361319885513,-1.0,0.08,-0.064,-2.1376361319885513,0.91858184606129,0.0,0.017418153938710032,0.0,-0.10332535826548722,0.0,-2.098310773723064,0.0,0.9359999999999999,-2.2016361319885513,0.016,0.21680871244726732
82.0,-1.7573403340754414,0.495764107589814,1.0,-1.0,0.08,-0.064,-2.088245049768384,-1.0,0.08,-0.064,-2.088245049768384,0.91858184606129,0.0,0.017418153938710032,0.0,-0.10432418912828433,0.0,-2.0479208606401,0.0,0.9359999999999999,-2.1522450497683843,0.016,0.21364768318517657
82.25,-1.743372987569972,0.46705545142140403,1.0,-1.0,0.08,-0.064,-2.0393493737886494,-1.0,0.08,-0.064,-2.0393493737886494,0.91858184606129,0.0,0.017418153938710032,0.0,-0.10536538907896331,0.0,-1.9979839847096863,0.0,0.9359999999999999,-2.1033493737886495,0.016,0.21051835992247356
82.5,-1.7294342349580578,0.4390793162578176,1.0,-1.0,0.08,-0.064,-1.9909427730449623,-1.0,0.08,-0.064,-1.9909427730449623,0.91858184606129,0.0,0.017418153938710032,0.0,-0.10645178160217747,0.0,-1.9484909914427848,0.0,0.9359999999999999,-2.0549427730449623,0.016,0.2074203374748776
82.75,-1.7155228821341024,0.41182351945696066,1.0,-1.0,0.08,-0.064,-1.9430187591256969,-1.0,0.08,-0.064,-1.9430187591256969,0.91858184606129,0.0,0.017418153938710032,0.0,-0.10758646195968297,0.0,-1.899432297166014,0.0,0.9359999999999999,-2.007018759125697,0.016,0.2043532005840446
83.0,-1.7016376677164882,0.3852760961270791,1.0,-1.0,0.08,-0.064,-1.8955707521916088,-1.0,0.08,-0.064,-1.8955707521916088,0.91858184606129,0.0,0.017418153938710032,0.0,-0.1087728302212149,0.0,-1.8507979219703938,0.0,0.9359999999999999,-1.9595707521916088,0.016,0.20131652814026296
83.25,-1.6877772704444267,0.35942529692117714,1.0,-1.0,0.08,-0.064,-1.8485921146288389,-1.0,0.08,-0.064,-1.8485921146288389,0.91858184606129,0.0,0.017418153938710032,0.0,-0.11001463018816039,0.0,-1.8025774844406786,0.0,0.9359999999999999,-1.912592114628839,0.016,0.1983098953362457
83.5,-1.6739403117007847,0.33425958577274484,1.0,-1.0,0.08,-0.064,-1.8020761671369199,-1.0,0.08,-0.064,-1.8020761671369199,0.91858184606129,0.0,0.017418153938710032,0.0,-0.11131599509064521,0.0,-1.7547601720462747,0.0,0.9359999999999999,-1.86607616713692,0.016,0.1953328746967629
83.75,-1.660125355229478,0.3097676376477154,1.0,-1.0,0.08,-0.064,-1.7560161950758002,-1.0,0.08,-0.064,-1.7560161950758002,0.91858184606129,0.0,0.017418153938710032,0.0,-0.11268150128032067,0.0,-1.7073346937954796,0.0,0.9359999999999999,-1.8200161950758003,0.016,0.19238503648485122
84.0,-1.6463309051506791,0.2859383363559453,1.0,-1.0,0.08,-0.064,-1.710405449254254,-1.0,0.08,-0.064,-1.710405449254254,0.91858184606129,0.0,0.017418153938710032,0.0,-0.11411623151427647,0.0,-1.6602892177399775,0.0,0.9359999999999999,-1.774405449254254,0.016,0.18946594875227224
