seed,kappa_from,kappa_to,s,J_next,J_prev
1,50,75,0.5,1000.0,1000.0
1,50,75,0.55,1000.0,1000.0
1,50,75,0.6,1000.0,1000.0
1,50,75,0.65,1000.0,1000.0
1,50,75,0.7,1000.0,1000.0
1,50,75,0.75,1000.0,1000.0
1,50,75,0.8,1000.0,1000.0
1,50,75,0.85,1000.0,1000.0
1,50,75,0.9,1000.0,1000.0
1,50,75,0.95,1000.0,1000.0
1,50,75,1.0,1000.0,1000.0
1,75,100,0.0,1000.0,1000.0
1,75,100,0.05,1000.0,1000.0
1,75,100,0.1,1000.0,1000.0
1,75,100,0.15,1000.0,1000.0
1,75,100,0.2,1000.0,1000.0
1,75,100,0.25,1000.0,1000.0
1,75,100,0.3,1000.0,1000.0
1,75,100,0.35,1000.0,1000.0
1,75,100,0.4,1000.0,1000.0
1,75,100,0.45,1000.0,1000.0
1,75,100,0.5,1000.0,1000.0
1,75,100,0.55,1000.0,1000.0
1,75,100,0.6,1000.0,1000.0
1,75,100,0.65,1000.0,1000.0
1,75,100,0.7,1000.0,1000.0
1,75,100,0.75,1000.0,1000.0
1,75,100,0.8,1000.0,1000.0
1,75,100,0.85,1000.0,1000.0
1,75,100,0.9,1000.0,1000.0
1,75,100,0.95,1000.0,1000.0
1,75,100,1.0,1000.0,1000.0
2,1,2,0.0,0.045710385326187174,0.03358721148132277
2,1,2,0.05,0.04274701559878656,0.03194293588163704
2,1,2,0.1,0.04010406069724237,0.030417163815416433
2,1,2,0.15,0.03773725361120019,0.028999585841826422
2,1,2,0.2,0.035610000770038966,0.02768087732598606
2,1,2,0.25,0.03369343799606332,0.02645446599338043
2,1,2,0.3,0.03197175649169053,0.025323016639215472
2,1,2,0.35,0.030447948309339726,0.02430498970998709
2,1,2,0.4,0.029104205095492018,0.023395626807654703
2,1,2,0.45,0.027910339701857603,0.02257580471873802
2,1,2,0.5,0.026847333410580577,0.021835906693951024
2,1,2,0.55,0.02595226457111261,0.02122099779822531
2,1,2,0.6,0.025200051361865164,0.0207127588858668
2,1,2,0.65,0.02454409574576955,0.020270281980883813
2,1,2,0.7,0.023971042099717517,0.019884951820989427
2,1,2,0.75,0.02347507372047791,0.01955484467790482
2,1,2,0.8,0.023052073409936667,0.019278975977608193
2,1,2,0.85,0.02270062115851261,0.019058373114442854
2,1,2,0.9,0.022424719902907817,0.0188988664189
2,1,2,0.95,0.022222190866863015,0.01879954084799787
2,1,2,1.0,0.02209999139116958,0.018768101814478563
2,2,3,0.0,0.025460030392256184,0.02209999139116958
2,2,3,0.05,0.024815384701479867,0.021987456111183645
2,2,3,0.1,0.024203827084001827,0.02189935314510956
2,2,3,0.15,0.02362779847403043,0.021838106344236486
2,2,3,0.2,0.023090660167260975,0.021807077838257465
2,2,3,0.25,0.022589828196451025,0.021803701735067044
2,2,3,0.3,0.022121476844749376,0.021824186619458157
2,2,3,0.35,0.02168418681696565,0.021867162408313844
2,2,3,0.4,0.021277417349880867,0.021932150882225256
2,2,3,0.45,0.02090080823704418,0.022018865908435402
2,2,3,0.5,0.020554039099190263,0.022127070725556724
2,2,3,0.55,0.020236802906876825,0.022256549335146515
2,2,3,0.6,0.01994879981027023,0.022407098092110694
2,2,3,0.65,0.019689735372201932,0.022578521625141127
2,2,3,0.7,0.019459320482884866,0.02277063039826325
2,2,3,0.75,0.01925727293122754,0.022983239918392365
2,2,3,0.8,0.019083327005726056,0.023216177988868436
2,2,3,0.85,0.018937320943076746,0.023469369850974853
2,2,3,0.9,0.01882004054874366,0.023743679558338504
2,2,3,0.95,0.018737609833923585,0.02404529844611822
2,2,3,1.0,0.01869971243454942,0.024383964474953317
2,3,4,0.0,0.024641933198712954,0.01869971243454942
2,3,4,0.05,0.023892046698648584,0.01871364542275537
2,3,4,0.1,0.023167699591040394,0.018752742825660668
2,3,4,0.15,0.022469735749115982,0.01881722075685565
2,3,4,0.2,0.021799062349455126,0.018907303947020466
2,3,4,0.25,0.021156718047676486,0.01902328964874395
2,3,4,0.3,0.02054394693010716,0.019165617243597513
2,3,4,0.35,0.019962317095856275,0.019334982464247967
2,3,4,0.4,0.01941384196085478,0.019532454393826587
2,3,4,0.45,0.018900753168400508,0.019759244211042595
2,3,4,0.5,0.018424708178775027,0.020015908851676464
2,3,4,0.55,0.01798655801412489,0.02030211517543768
2,3,4,0.6,0.017587108916389017,0.02061739852375588
2,3,4,0.65,0.01722758131410526,0.0209616192069658
2,3,4,0.7,0.016909546104382576,0.021334897083955875
2,3,4,0.75,0.016634779962304398,0.0217374661161302
2,3,4,0.8,0.016405181393044366,0.02216959079123402
2,3,4,0.85,0.016222731130039234,0.022631528208317236
2,3,4,0.9,0.01608947161236189,0.023123510748560512
2,3,4,0.95,0.016007492835617365,0.02364573681641212
2,3,4,1.0,0.01597891935695275,0.024198364614101898
2,4,5,0.0,0.024026809654817117,0.01597891935695275
