exp,arm,seed,mode,optimizer,iters,gamma,S,penalty,noise,schedule,radius,n_steps,window_size,J,p_err,score,support_recall,false_positives,wall_s,f_calls,iterations,converged,blowup,seed_p_err
main,propagate,5,propagate,nm,2500,0.05,10,flat,0.05,full,nan,16,2,0.020209002497784914,0.0877883652793388,0.95,0.7142857142857143,0,1.8057880401611328,3207,2500,false,false,1.6514587340395241
main,propagate,5,propagate,nm,2500,0.05,10,flat,0.05,full,nan,16,3,0.01850922335845975,0.21711075799898072,0.85,0.7142857142857143,1,1.8279600143432617,3248,2500,false,false,1.6514587340395241
main,propagate,5,propagate,nm,2500,0.05,10,flat,0.05,full,nan,16,4,0.014902416807077599,0.16746615650954846,0.9,0.8571428571428571,1,1.8155560493469238,3224,2500,false,false,1.6514587340395241
main,propagate,5,propagate,nm,2500,0.05,10,flat,0.05,full,nan,16,5,0.018359699538414723,0.13889561999624653,0.8,0.8571428571428571,1,1.8241028785705566,3246,2500,false,false,1.6514587340395241
main,propagate,5,propagate,nm,2500,0.05,10,flat,0.05,full,nan,16,6,0.021114806101986544,0.22259500318766662,0.6,0.8571428571428571,6,1.8297960758209229,3245,2500,false,false,1.6514587340395241
main,propagate,5,propagate,nm,2500,0.05,10,flat,0.05,full,nan,16,8,0.016731066253955325,0.25306122599186615,0.8,0.8571428571428571,4,1.7962889671325684,3181,2500,false,false,1.6514587340395241
main,propagate,5,propagate,nm,2500,0.05,10,flat,0.05,full,nan,16,10,0.014720658933503815,0.26117128155724734,0.85,0.8571428571428571,2,1.8356330394744873,3251,2500,false,false,1.6514587340395241
main,propagate,5,propagate,nm,2500,0.05,10,flat,0.05,full,nan,16,12,0.015672614906871368,0.23685030227555995,0.8,0.8571428571428571,3,1.8436501026153564,3276,2500,false,false,1.6514587340395241
main,propagate,5,propagate,nm,2500,0.05,10,flat,0.05,full,nan,16,15,0.014136939609439434,0.35947150528327054,0.7,0.8571428571428571,3,1.854491949081421,3282,2500,false,false,1.6514587340395241
main,propagate,5,propagate,nm,2500,0.05,10,flat,0.05,full,nan,16,20,0.015201630696910677,0.27621087843093434,0.8,0.8571428571428571,2,1.8198740482330322,3243,2500,false,false,1.6514587340395241
main,propagate,5,propagate,nm,2500,0.05,10,flat,0.05,full,nan,16,25,0.013374176796792325,0.3900418703569285,0.85,0.8571428571428571,1,1.8757548332214355,3335,2500,false,false,1.6514587340395241
main,propagate,5,propagate,nm,2500,0.05,10,flat,0.05,full,nan,16,33,0.013639141315899208,0.42164924021390116,0.85,0.8571428571428571,1,1.8612871170043945,3305,2500,false,false,1.6514587340395241
main,propagate,5,propagate,nm,2500,0.05,10,flat,0.05,full,nan,16,50,0.013241253700899652,0.42903828310751957,0.85,0.8571428571428571,1,1.9997248649597168,3554,2500,false,false,1.6514587340395241
main,propagate,5,propagate,nm,2500,0.05,10,flat,0.05,full,nan,16,75,0.012896859628977474,0.41507287062692194,0.8,0.8571428571428571,2,2.0440099239349365,3620,2500,false,false,1.6514587340395241
main,propagate,5,propagate,nm,2500,0.05,10,flat,0.05,full,nan,16,100,0.012810967427572685,0.40816635320337064,0.8,0.8571428571428571,2,2.07989501953125,3703,2500,false,false,1.6514587340395241
main,reset,1,reset,nm,2500,0.05,10,flat,0.05,full,nan,16,1,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.00432586669921875,24,0,true,true,1.840755564960906
main,reset,1,reset,nm,2500,0.05,10,flat,0.05,full,nan,16,2,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.0002651214599609375,24,0,true,true,1.840755564960906
main,reset,1,reset,nm,2500,0.05,10,flat,0.05,full,nan,16,3,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.00026702880859375,24,0,true,true,1.840755564960906
main,reset,1,reset,nm,2500,0.05,10,flat,0.05,full,nan,16,4,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.00026702880859375,24,0,true,true,1.840755564960906
main,reset,1,reset,nm,2500,0.05,10,flat,0.05,full,nan,16,5,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.00026607513427734375,24,0,true,true,1.840755564960906
main,reset,1,reset,nm,2500,0.05,10,flat,0.05,full,nan,16,6,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.00026488304138183594,24,0,true,true,1.840755564960906
main,reset,1,reset,nm,2500,0.05,10,flat,0.05,full,nan,16,8,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.0006859302520751953,24,0,true,true,1.840755564960906
main,reset,1,reset,nm,2500,0.05,10,flat,0.05,full,nan,16,10,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.0002608299255371094,24,0,true,true,1.840755564960906
main,reset,1,reset,nm,2500,0.05,10,flat,0.05,full,nan,16,12,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.00025916099548339844,24,0,true,true,1.840755564960906
