direction,window_size,s,J
1,2,-1.7,1000.0
1,2,-1.69,1000.0
1,2,-1.68,1000.0
1,2,-1.67,1000.0
1,2,-1.66,1000.0
1,2,-1.65,1000.0
1,2,-1.64,1000.0
1,2,-1.63,1000.0
1,2,-1.62,1000.0
1,2,-1.61,1000.0
1,2,-1.6,1000.0
1,2,-1.59,1000.0
1,2,-1.58,1000.0
1,2,-1.57,1000.0
1,2,-1.56,1000.0
1,2,-1.55,1000.0
1,2,-1.54,1000.0
1,2,-1.53,1000.0
1,2,-1.52,1000.0
1,2,-1.51,1000.0
1,2,-1.5,1000.0
1,2,-1.49,1000.0
1,2,-1.48,1000.0
1,2,-1.47,1000.0
1,2,-1.46,1000.0
1,2,-1.45,1000.0
1,2,-1.44,1000.0
1,2,-1.43,1000.0
1,2,-1.42,1000.0
1,2,-1.41,1000.0
1,2,-1.4,1000.0
1,2,-1.39,1000.0
1,2,-1.38,1000.0
1,2,-1.37,1000.0
1,2,-1.36,1000.0
1,2,-1.35,1000.0
1,2,-1.34,1000.0
1,2,-1.33,1000.0
1,2,-1.32,1000.0
1,2,-1.31,1000.0
1,2,-1.3,1000.0
1,2,-1.29,1000.0
1,2,-1.28,1000.0
1,2,-1.27,1000.0
1,2,-1.26,1000.0
1,2,-1.25,1000.0
1,2,-1.24,1000.0
1,2,-1.23,1000.0
1,2,-1.22,1000.0
1,2,-1.21,1000.0
1,2,-1.2,1000.0
1,2,-1.19,1000.0
1,2,-1.18,1000.0
1,2,-1.17,1000.0
1,2,-1.16,1000.0
1,2,-1.15,1000.0
1,2,-1.14,1000.0
1,2,-1.13,1000.0
1,2,-1.12,1000.0
1,2,-1.11,1000.0
1,2,-1.1,1000.0
1,2,-1.09,1000.0
1,2,-1.08,1000.0
1,2,-1.07,1000.0
1,2,-1.06,1000.0
1,2,-1.05,1000.0
1,2,-1.04,1000.0
1,2,-1.03,1000.0
1,2,-1.02,1000.0
1,2,-1.01,1000.0
1,2,-1.0,1000.0
1,2,-0.99,1000.0
1,2,-0.98,1000.0
1,2,-0.97,1000.0
1,2,-0.96,1000.0
1,2,-0.95,1000.0
1,2,-0.94,1000.0
1,2,-0.93,1000.0
1,2,-0.92,1000.0
1,2,-0.91,1000.0
1,2,-0.9,1000.0
1,2,-0.89,1000.0
1,2,-0.88,1000.0
1,2,-0.87,1000.0
1,2,-0.86,1000.0
1,2,-0.85,1000.0
1,2,-0.84,1000.0
1,2,-0.83,1000.0
1,2,-0.82,1000.0
1,2,-0.81,1000.0
1,2,-0.8,1000.0
1,2,-0.79,1000.0
1,2,-0.78,1000.0
1,2,-0.77,1000.0
1,2,-0.76,1000.0
1,2,-0.75,1000.0
1,2,-0.74,1000.0
1,2,-0.73,1000.0
1,2,-0.72,1000.0
1,2,-0.71,1000.0
1,2,-0.7,1000.0
1,2,-0.69,1000.0
1,2,-0.68,1000.0
1,2,-0.67,1000.0
1,2,-0.66,1000.0
1,2,-0.65,1000.0
1,2,-0.64,1000.0
1,2,-0.63,1000.0
1,2,-0.62,1000.0
1,2,-0.61,1000.0
1,2,-0.6,1000.0
1,2,-0.59,1000.0
1,2,-0.58,1000.0
1,2,-0.57,1000.0
1,2,-0.56,1000.0
1,2,-0.55,1000.0
1,2,-0.54,1000.0
1,2,-0.53,1000.0
1,2,-0.52,1000.0
1,2,-0.51,1000.0
1,2,-0.5,1000.0
1,2,-0.49,1000.0
1,2,-0.48,1000.0
1,2,-0.47,1000.0
1,2,-0.46,1000.0
1,2,-0.45,1000.0
1,2,-0.44,1000.0
1,2,-0.43,1000.0
1,2,-0.42,1000.0
1,2,-0.41,1000.0
1,2,-0.4,1000.0
1,2,-0.39,1000.0
1,2,-0.38,1000.0
1,2,-0.37,1000.0
1,2,-0.36,1000.0
1,2,-0.35,1000.0
1,2,-0.34,1000.0
1,2,-0.33,1000.0
1,2,-0.32,1000.0
1,2,-0.31,1000.0
1,2,-0.3,1000.0
1,2,-0.29,1000.0
1,2,-0.28,1000.0
1,2,-0.27,12.774195022481665
1,2,-0.26,1.8851939387802177
1,2,-0.25,1.2414552436313466
1,2,-0.24,0.9450525831168477
1,2,-0.23,0.7593151382783606
1,2,-0.22,0.6270356979319027
1,2,-0.21,0.5260839375429206
1,2,-0.2,0.44568884756634536
1,2,-0.19,0.3798274727283234
1,2,-0.18,0.32480142848565985
1,2,-0.17,0.27818093018320345
1,2,-0.16,0.23828583640849554
1,2,-0.15,0.20390683240047341
1,2,-0.14,0.1741449445297665
1,2,-0.13,0.14831393881540936
1,2,-0.12,0.12587822549916017
1,2,-0.11,0.10641183487756924
1,2,-0.1,0.08957043086955546
1,2,-0.09,0.07507168400555134
1,2,-0.08,0.0626811727914901
1,2,-0.07,0.05220204387600062
1,2,-0.06,0.04346729610087853
1,2,-0.05,0.03633395077269559
1,2,-0.04,0.030678641645958977
1,2,-0.03,0.026394392706453065
1,2,-0.02,0.02338867717659558
1,2,-0.01,0.021583359641875653
1,2,0.0,0.020915482849303117
1,2,0.01,0.021326410268559057
1,2,0.02,0.022746024345352226
1,2,0.03,0.02510642298664796
1,2,0.04,0.02835057417586966
1,2,0.05,0.03242912330175106
1,2,0.06,0.03729771965283071
1,2,0.07,0.042915749584667394
1,2,0.08,0.04924567918798516
1,2,0.09,0.05625265042673236
1,2,0.1,0.06390419799646238
1,2,0.11,0.07217003264506863
1,2,0.12,0.08102186510539011
1,2,0.13,0.09043325631465166
1,2,0.14,0.10037948502138974
1,2,0.15,0.11083742687440129
1,2,0.16,0.12178544099273926
1,2,0.17,0.133203261359715
1,2,0.18,0.14507189139081875
1,2,0.19,0.15737350079755122
1,2,0.2,0.17009132445839364
1,2,0.21,0.18320956344539577
1,2,0.22,0.1967132886621868
1,2,0.23,0.21058834774489577
1,2,0.24,0.22482127597822302
1,2,0.25,0.23939921200049374
1,2,0.26,0.2543098190290668
1,2,0.27,0.26954121224526084
1,2,0.28,0.2850818928494071
1,2,0.29,0.30092068914417125
1,2,0.3,0.3170467048390814
1,2,0.31,0.3334492746013038
1,2,0.32,0.35011792671562164
1,2,0.33,0.36704235256751344
1,2,0.34,0.3842123825327249
1,2,0.35,0.40161796774888076
1,2,0.36,0.4192491671619415
1,2,0.37,0.43709613918367846
1,2,0.38,0.4551491372655075
1,2,0.39,0.47339850868734534
1,2,0.4,0.4918346958752096
1,2,0.41,0.5104482395948358
1,2,0.42,0.5292297834169107
1,2,0.43,0.548170078908958
1,2,0.44,0.5672599910755627
1,2,0.45,0.5864905036392075
1,2,0.46,0.605852723825388
1,2,0.47,0.6253378863854907
1,2,0.48,0.6449373566572895
1,2,0.49,0.6646426325244464
1,2,0.5,0.6844453451924358
1,2,0.51,0.7043372587483308
1,2,0.52,0.7243102685160703
1,2,0.53,0.7443563982571185
1,2,0.54,0.7644677962994798
1,2,0.55,0.7846367307059625
1,2,0.56,0.8048555836159548
1,2,0.57,0.8251168449140337
1,2,0.58,0.8454131053937504
1,2,0.59,0.8657370495961028
1,2,0.6,0.8860814485096474
1,2,0.61,0.9064391523230005
1,2,0.62,0.9268030834207637
1,2,0.63,0.9471662298107755
1,2,0.64,0.9675216391643351
1,2,0.65,0.9878624136419376
1,2,0.66,1.0081817056656253
1,2,0.67,1.0284727147858985
1,2,0.68,1.048728685777109
1,2,0.69,1.0689429080809605
1,2,0.7,1.0891087167038975
1,2,0.71,1.1092194946600933
1,2,0.72,1.129268677034481
1,2,0.73,1.1492497567114717
1,2,0.74,1.1691562917562204
1,2,0.75,1.1889819143130151
1,2,0.76,1.2087203406511382
1,2,0.77,1.2283653816051772
1,2,0.78,1.2479109521791925
1,2,0.79,1.2673510788079774
1,2,0.8,1.286679903297412
1,2,0.81,1.3058916843218575
1,2,0.82,1.3249807999543746
1,2,0.83,1.3439417558436888
1,2,0.84,1.3627692013958113
1,2,0.85,1.3814579519299797
1,2,0.86,1.400003011968425
1,2,0.87,1.418399595469204
1,2,0.88,1.4366431413664331
1,2,0.89,1.4547293248767654
1,2,0.9,1.4726540657930685
1,2,0.91,1.4904135348312126
1,2,0.92,1.50800415866044
1,2,0.93,1.5254226238803554
1,2,0.94,1.5426658799926756
1,2,0.95,1.5597311413227715
1,2,0.96,1.5766158878245966
1,2,0.97,1.5933178647155162
1,2,0.98,1.609835080913229
1,2,0.99,1.6261658062748152
1,2,1.0,1.642308567663704
1,2,1.01,1.6582621438921372
1,2,1.02,1.6740255596046827
1,2,1.03,1.6895980781824045
1,2,1.04,1.7049791937580783
1,2,1.05,1.720168622440501
1,2,1.06,1.7351662928510159
1,2,1.07,1.749972336078078
1,2,1.08,1.7645870751562305
1,2,1.09,1.779011014174713
1,2,1.1,1.793244827118173
1,2,1.11,1.8072893465378121
1,2,1.12,1.8211455521461553
1,2,1.13,1.8348145594225824
1,2,1.14,1.84829760831002
1,2,1.15,1.861596052076014
1,2,1.16,1.8747113464039074
1,2,1.17,1.8876450387721895
1,2,1.18,1.9003987581725024
1,2,1.19,1.912974205209224
1,2,1.2,1.9253731426163498
1,2,1.21,1.9375973862203435
1,2,1.22,1.9496487963711384
1,2,1.23,1.961529269857285
1,2,1.24,1.9732407323155599
1,2,1.25,1.9847851311402436
1,2,1.26,1.9961644288924925
1,2,1.27,2.007380597206207
1,2,1.28,2.018435611183002
1,2,1.29,2.0293314442657873
1,2,1.3,2.040070063577696
1,2,1.31,2.0506534257108404
1,2,1.32,2.0610834729474785
1,2,1.33,2.0713621298946365
1,2,1.34,2.0814913005121762
1,2,1.35,2.0914728655132766
1,2,1.36,2.1013086801159355
1,2,1.37,2.1110005721235816
1,2,1.38,2.1205503403129216
1,2,1.39,2.1299597531072347
1,2,1.4,2.13923054751347
1,2,1.41,2.148364428302071
1,2,1.42,2.1573630674088635
1,2,1.43,2.1662281035389896
1,2,1.44,2.17496114195363
1,2,1.45,2.183563754420933
1,2,1.46,2.1920374793135267
1,2,1.47,2.200383821835687
1,2,1.48,2.2086042543643103
1,2,1.49,2.216700216888613
1,2,1.5,2.2246731175344254
1,2,1.51,2.232524333159956
1,2,1.52,2.2402552100107043
1,2,1.53,2.247867064422199
1,2,1.54,2.255361183560079
1,2,1.55,2.2627388261879813
1,2,1.56,2.270001223454471
1,2,1.57,2.277149579691204
1,2,1.58,2.284185073215195
1,2,1.59,2.2911088571290015
1,2,1.6,2.2979220601132058
1,2,1.61,2.3046257872065548
1,2,1.62,2.311221120569551
1,2,1.63,2.3177091202281423
1,2,1.64,2.324090824794754
1,2,1.65,2.3303672521644327
1,2,1.66,2.336539400184549
1,2,1.67,2.342608247296948
1,2,1.68,2.348574753152014
1,2,1.69,2.354439859194505
1,2,1.7,2.3602044892214815
1,2,1.71,2.3658695499130817
1,2,1.72,2.3714359313371283
1,2,1.73,2.376904507429023
1,2,1.74,2.3822761364485423
1,2,1.75,2.3875516614156065
1,2,1.76,2.3927319105287777
1,2,1.77,2.3978176975960848
1,2,1.78,2.4028098229084733
1,2,1.79,2.4077090812816264
1,2,1.8,2.412516381708732
1,2,1.81,2.4172343553635582
1,2,1.82,2.421873596541016
1,2,1.83,2.426434480365073
1,2,1.84,2.4309080933225573
1,2,1.85,2.4352934130007453
1,2,1.86,2.4395910148911075
1,2,1.87,2.4438015805907694
1,2,1.88,2.4479257887776567
1,2,1.89,2.4519643085722516
1,2,1.9,2.4559177994909853
1,2,1.91,2.4597869118317366
1,2,1.92,2.4635722871001815
1,2,1.93,2.4672745584526785
1,2,1.94,2.4708943511543304
1,2,1.95,2.47443228305224
1,2,1.96,2.4778889650635696
1,2,1.97,2.4812650016779303
1,2,1.98,2.4845609914731974
1,2,1.99,2.487777527643671
1,2,2.0,2.4909151985391897
1,5,-2.0,1000.0
1,5,-1.99,1000.0
1,5,-1.98,1000.0
1,5,-1.97,1000.0
1,5,-1.96,1000.0
1,5,-1.95,1000.0
1,5,-1.94,1000.0
1,5,-1.93,1000.0
1,5,-1.92,1000.0
1,5,-1.91,1000.0
1,5,-1.9,1000.0
1,5,-1.89,1000.0
1,5,-1.88,1000.0
1,5,-1.87,1000.0
1,5,-1.86,1000.0
1,5,-1.85,1000.0
1,5,-1.84,1000.0
1,5,-1.83,1000.0
1,5,-1.82,1000.0
1,5,-1.81,1000.0
1,5,-1.8,1000.0
1,5,-1.79,1000.0
1,5,-1.78,1000.0
1,5,-1.77,1000.0
1,5,-1.76,1000.0
1,5,-1.75,1000.0
1,5,-1.74,1000.0
1,5,-1.73,1000.0
1,5,-1.72,1000.0
1,5,-1.71,1000.0
1,5,-1.7,1000.0
1,5,-1.69,1000.0
1,5,-1.68,1000.0
1,5,-1.67,1000.0
1,5,-1.66,1000.0
1,5,-1.65,1000.0
1,5,-1.64,1000.0
1,5,-1.63,1000.0
1,5,-1.62,1000.0
1,5,-1.61,1000.0
1,5,-1.6,1000.0
1,5,-1.59,1000.0
1,5,-1.58,1000.0
1,5,-1.57,1000.0
1,5,-1.56,1000.0
1,5,-1.55,1000.0
1,5,-1.54,1000.0
1,5,-1.53,1000.0
1,5,-1.52,1000.0
1,5,-1.51,1000.0
1,5,-1.5,1000.0
1,5,-1.49,1000.0
1,5,-1.48,1000.0
1,5,-1.47,1000.0
1,5,-1.46,1000.0
1,5,-1.45,1000.0
1,5,-1.44,1000.0
1,5,-1.43,1000.0
1,5,-1.42,1000.0
1,5,-1.41,1000.0
1,5,-1.4,1000.0
1,5,-1.39,1000.0
1,5,-1.38,1000.0
1,5,-1.37,1000.0
1,5,-1.36,1000.0
1,5,-1.35,1000.0
1,5,-1.34,1000.0
1,5,-1.33,1000.0
1,5,-1.32,1000.0
1,5,-1.31,1000.0
1,5,-1.3,1000.0
1,5,-1.29,1000.0
1,5,-1.28,1000.0
1,5,-1.27,1000.0
1,5,-1.26,1000.0
1,5,-1.25,1000.0
1,5,-1.24,1000.0
1,5,-1.23,1000.0
1,5,-1.22,1000.0
1,5,-1.21,1000.0
1,5,-1.2,1000.0
1,5,-1.19,1000.0
1,5,-1.18,1000.0
1,5,-1.17,1000.0
1,5,-1.16,1000.0
1,5,-1.15,1000.0
1,5,-1.14,1000.0
1,5,-1.13,1000.0
1,5,-1.12,1000.0
1,5,-1.11,1000.0
1,5,-1.1,1000.0
1,5,-1.09,1000.0
1,5,-1.08,1000.0
1,5,-1.07,1000.0
