window_size,dp_x2,dp_xy,J
1,-0.5925,0.239375,1.0461572804140042
1,-0.5925,0.25375,1.0255650753392307
1,-0.5925,0.268125,1.0052338293229561
1,-0.5925,0.2825,0.9851714498744922
1,-0.5925,0.296875,0.9653860044973057
1,-0.5925,0.31125,0.9458857236153977
1,-0.5925,0.325625,0.9266790035507838
1,-0.5925,0.34,0.9077744095529412
1,-0.5925,0.354375,0.8891806788811193
1,-0.5925,0.36875,0.8709067239404428
1,-0.5925,0.383125,0.8529616354727341
1,-0.5925,0.3975,0.8353546858030155
1,-0.5925,0.411875,0.8180953321426522
1,-0.5925,0.42625,0.8011932199501393
1,-0.5925,0.440625,0.7846581863505256
1,-0.5925,0.455,0.7685002636145203
1,-0.5925,0.469375,0.752729682702031
1,-0.5925,0.48375,0.7373568817785024
1,-0.5925,0.498125,0.72239799288673
1,-0.5925,0.5125,0.7079515555974676
1,-0.5925,0.526875,0.6939565121643454
1,-0.5925,0.54125,0.6804031059894434
1,-0.5925,0.555625,0.6673028059455224
1,-0.5925,0.57,0.6546673382082908
1,-0.5925,0.584375,0.6425086583005067
1,-0.5925,0.59875,0.6308389552047778
1,-0.5925,0.613125,0.6196706555729906
1,-0.5925,0.6275,0.6090164280094795
1,-0.5925,0.641875,0.5988891874292411
1,-0.5925,0.65625,0.589302099492566
1,-0.5925,0.670625,0.5802685851174582
1,-0.5925,0.685,0.5718023250712724
1,-0.5925,0.699375,0.5639172646430045
1,-0.5925,0.71375,0.556627618397718
1,-0.5925,0.728125,0.5499478750146115
1,-0.5925,0.7425,0.5438928022102713
1,-0.5925,0.756875,0.5384774517486784
1,-0.5925,0.77125,0.5337171645395804
1,-0.5925,0.785625,0.5296275758268775
1,-0.5925,0.8,0.5262246204686858
1,-0.585,-1.5,4.059169527283203
1,-0.585,-1.485625,4.035616971302792
1,-0.585,-1.47125,4.011993800061539
1,-0.585,-1.456875,3.9883003582066046
1,-0.585,-1.4425,3.9645370055417537
1,-0.585,-1.428125,3.9407041173611783
1,-0.585,-1.41375,3.9168020847898055
1,-0.585,-1.399375,3.892831315130149
1,-0.585,-1.385,3.8687922322158594
1,-0.585,-1.370625,3.8446852767721227
1,-0.585,-1.35625,3.8205109067829746
1,-0.585,-1.341875,3.7962695978656873
1,-0.585,-1.3275,3.771961843652358
1,-0.585,-1.313125,3.747588156178825
1,-0.585,-1.29875,3.7231490662810436
1,-0.585,-1.284375,3.698645123999061
1,-0.585,-1.27,3.674076898988704
1,-0.585,-1.255625,3.6494449809411758
1,-0.585,-1.24125,3.6247499800106344
1,-0.585,-1.226875,3.599992527249941
1,-0.585,-1.2125,3.5751732750547225
1,-0.585,-1.198125,3.5502928976158916
1,-0.585,-1.18375,3.5253520913807517
1,-0.585,-1.169375,3.500351575522892
1,-0.585,-1.155,3.4752920924209816
1,-0.585,-1.140625,3.4501744081466796
1,-0.585,-1.12625,3.4249993129617313
1,-0.585,-1.111875,3.3997676218245276
1,-0.585,-1.0975,3.3744801749062203
1,-0.585,-1.083125,3.3491378381165715
1,-0.585,-1.06875,3.323741503639755
1,-0.585,-1.054375,3.29829209048024
1,-0.585,-1.04,3.2727905450189567
1,-0.585,-1.025625,3.2472378415799295
1,-0.585,-1.01125,3.2216349830075486
1,-0.585,-0.996875,3.1959830012547124
1,-0.585,-0.9825,3.17028295798196
1,-0.585,-0.968125,3.1445359451678656
1,-0.585,-0.95375,3.1187430857308316
1,-0.585,-0.939375,3.092905534162545
1,-0.585,-0.925,3.0670244771732365
1,-0.585,-0.910625,3.041101134349012
1,-0.585,-0.89625,3.0151367588214164
1,-0.585,-0.881875,2.989132637949509
1,-0.585,-0.8675,2.9630900940145892
1,-0.585,-0.853125,2.937010484927884
1,-0.585,-0.83875,2.910895204951352
1,-0.585,-0.824375,2.8847456854318865
1,-0.585,-0.81,2.85856339554912
1,-0.585,-0.795625,2.8323498430770933
1,-0.585,-0.78125,2.806106575159999
1,-0.585,-0.766875,2.7798351791023226
1,-0.585,-0.7525,2.7535372831735043
1,-0.585,-0.738125,2.7272145574275193
1,-0.585,-0.72375,2.700868714537531
1,-0.585,-0.709375,2.6745015106459498
1,-0.585,-0.695,2.648114746230107
1,-0.585,-0.680625,2.6217102669838748
1,-0.585,-0.66625,2.5952899647154766
1,-0.585,-0.651875,2.5688557782617636
1,-0.585,-0.6375,2.5424096944192773
1,-0.585,-0.623125,2.5159537488923616
1,-0.585,-0.60875,2.4894900272586504
1,-0.585,-0.594375,2.4630206659521776
1,-0.585,-0.58,2.436547853264494
1,-0.585,-0.565625,2.4100738303640186
1,-0.585,-0.55125,2.383600892334056
1,-0.585,-0.536875,2.357131389229643
1,-0.585,-0.5225,2.3306677271537137
1,-0.585,-0.508125,2.3042123693528134
1,-0.585,-0.49375,2.277767837332738
1,-0.585,-0.479375,2.2513367119944445
1,-0.585,-0.465,2.224921634790565
1,-0.585,-0.450625,2.1985253089029024
1,-0.585,-0.43625,2.172150500441266
1,-0.585,-0.421875,2.1458000396639965
1,-0.585,-0.4075,2.1194768222205775
1,-0.585,-0.393125,2.0931838104167113
1,-0.585,-0.37875,2.0669240345022324
1,-0.585,-0.364375,2.040700593982267
1,-0.585,-0.35,2.0145166589520307
1,-0.585,-0.335625,1.9883754714556883
1,-0.585,-0.32125,1.9622803468696546
1,-0.585,-0.306875,1.9362346753108015
1,-0.585,-0.2925,1.910241923069965
1,-0.585,-0.278125,1.8843056340712054
1,-0.585,-0.26375,1.8584294313572558
1,-0.585,-0.249375,1.8326170186016204
1,-0.585,-0.235,1.8068721816477618
1,-0.585,-0.220625,1.7811987900758648
1,-0.585,-0.20625,1.7556007987976265
1,-0.585,-0.191875,1.7300822496795856
1,-0.585,-0.1775,1.7046472731954394
1,-0.585,-0.163125,1.6793000901079
1,-0.585,-0.14875,1.6540450131805329
1,-0.585,-0.134375,1.6288864489201595
1,-0.585,-0.12,1.6038288993502892
1,-0.585,-0.105625,1.578876963816166
1,-0.585,-0.09125,1.5540353408219176
1,-0.585,-0.076875,1.5293088299004192
1,-0.585,-0.0625,1.5047023335163823
1,-0.585,-0.048125,1.4802208590032642
1,-0.585,-0.03375,1.45586952053458
1,-0.585,-0.019375,1.4316535411301927
1,-0.585,-0.005,1.4075782546982099
1,-0.585,0.009375,1.383649108113066
1,-0.585,0.02375,1.3598716633304344
1,-0.585,0.038125,1.3362515995395992
1,-0.585,0.0525,1.3127947153539297
1,-0.585,0.066875,1.2895069310401108
1,-0.585,0.08125,1.2663942907868002
1,-0.585,0.095625,1.2434629650133953
1,-0.585,0.11,1.220719252719589
1,-0.585,0.124375,1.198169583876436
1,-0.585,0.13875,1.1758205218596294
1,-0.585,0.153125,1.1536787659257286
1,-0.585,0.1675,1.1317511537320788
1,-0.585,0.181875,1.110044663901165
1,-0.585,0.19625,1.0885664186301978
1,-0.585,0.210625,1.0673236863466788
1,-0.585,0.225,1.0463238844107838
1,-0.585,0.239375,1.0255745818653361
1,-0.585,0.25375,1.0050835022342302
1,-0.585,0.268125,0.984858526370123
1,-0.585,0.2825,0.9649076953522762
1,-0.585,0.296875,0.9452392134354028
1,-0.585,0.31125,0.9258614510504152
1,-0.585,0.325625,0.9067829478579933
1,-0.585,0.34,0.8880124158558748
1,-0.585,0.354375,0.8695587425408353
1,-0.585,0.36875,0.8514309941262973
1,-0.585,0.383125,0.8336384188165579
1,-0.585,0.3975,0.8161904501386272
1,-0.585,0.411875,0.7990967103327
1,-0.585,0.42625,0.7823670138022836
1,-0.585,0.440625,0.7660113706250554
1,-0.585,0.455,0.750039990125515
1,-0.585,0.469375,0.7344632845142472
1,-0.585,0.48375,0.719291877502207
1,-0.585,0.498125,0.7045420910727604
1,-0.585,0.5125,0.6903126592348391
1,-0.585,0.526875,0.6765427232828078
1,-0.585,0.54125,0.6632227303694076
1,-0.585,0.555625,0.6503643579378692
1,-0.585,0.57,0.6379795456666099
1,-0.585,0.584375,0.6260804676283858
1,-0.585,0.59875,0.6146795365208216
1,-0.585,0.613125,0.6037894079963079
1,-0.585,0.6275,0.5934229850684458
1,-0.585,0.641875,0.5835934225964107
1,-0.585,0.65625,0.5743141318486703
1,-0.585,0.670625,0.5655987851475048
1,-0.585,0.685,0.5574613205958224
1,-0.585,0.699375,0.5499159468877861
1,-0.585,0.71375,0.5429771482048008
1,-0.585,0.728125,0.5366596891984572
1,-0.585,0.7425,0.5309786200620363
1,-0.585,0.756875,0.5259492816922393
1,-0.585,0.77125,0.5215873109428354
1,-0.585,0.785625,0.5179086459719459
1,-0.585,0.8,0.514929531684746
1,-0.5775,-1.5,4.042135813455323
1,-0.5775,-1.485625,4.018514506188594
1,-0.5775,-1.47125,3.9948225416460756
1,-0.5775,-1.456875,3.9710602710618215
1,-0.5775,-1.4425,3.9472280610164714
1,-0.5775,-1.428125,3.92332629377572
1,-0.5775,-1.41375,3.8993553676353
1,-0.5775,-1.399375,3.8753156972727067
1,-0.5775,-1.385,3.8512077141056773
1,-0.5775,-1.370625,3.8270318666576713
1,-0.5775,-1.35625,3.8027886209303428
1,-0.5775,-1.341875,3.778478460783263
1,-0.5775,-1.3275,3.7541018883209305
1,-0.5775,-1.313125,3.72965942428725
1,-0.5775,-1.29875,3.705151608467595
1,-0.5775,-1.284375,3.6805790000986343
1,-0.5775,-1.27,3.6559421782859567
1,-0.5775,-1.255625,3.6312417424297876
1,-0.5775,-1.24125,3.6064783126588282
1,-0.5775,-1.226875,3.581652530272392
1,-0.5775,-1.2125,3.5567650581910217
1,-0.5775,-1.198125,3.5318165814156965
1,-0.5775,-1.18375,3.5068078074958384
1,-0.5775,-1.169375,3.4817394670061974
1,-0.5775,-1.155,3.4566123140328755
1,-0.5775,-1.140625,3.431427126668534
1,-0.5775,-1.12625,3.4061847075171077
1,-0.5775,-1.111875,3.3808858842080136
1,-0.5775,-1.0975,3.3555315099201946
1,-0.5775,-1.083125,3.33012246391603
1,-0.5775,-1.06875,3.304659652085443
1,-0.5775,-1.054375,3.2791440075002085
1,-0.5775,-1.04,3.253576490978833
1,-0.5775,-1.025625,3.227958091662018
1,-0.5775,-1.01125,3.202289827599051
1,-0.5775,-0.996875,3.176572746345224
1,-0.5775,-0.9825,3.1508079255704815
1,-0.5775,-0.968125,3.124996473679563
1,-0.5775,-0.95375,3.0991395304437677
1,-0.5775,-0.939375,3.0732382676446153
1,-0.5775,-0.925,3.047293889729545
