plane,window_size,f_blow,basin,J_min,J_max
c_wc,6,0.0,0.0034936844934157483,0.0617788066508355,8.505016361523525
c_wc,8,0.0,0.0008062348830959419,0.022962069289866327,8.924704571495644
c_wc,10,0.0,0.0005374899220639613,0.01543365226590483,9.317694579054411
c_wc,12,0.0,0.002149959688255845,0.05349616137394521,9.666843362341499
c_wc,15,0.0,0.0002687449610319806,0.02224764669442469,9.934373035994884
c_wc,20,0.0,0.0010749798441279225,0.01940981575471948,10.353769983051135
c_wc,25,0.0,0.0002687449610319806,0.020700188701984125,10.393559530711084
c_wc,33,0.0,0.0002687449610319806,0.02275075821180186,10.374969524055942
c_wc,50,0.0,0.0002687449610319806,0.02728570980472099,11.334958189253884
c_wc,75,0.0,0.0002687449610319806,0.016796329228972662,10.914049377921438
c_wc,100,0.0,0.0002687449610319806,0.017576201469118733,11.53352398878147
v2_w2,1,0.0,0.031174415479709755,0.01773109828394226,2.6427823683804155
v2_w2,2,0.0,0.019080892233270627,0.020915482849303117,8.57887090220605
v2_w2,3,0.0,0.011556033324375168,0.021600168216777987,20.493744920426973
v2_w2,4,0.0,0.0064498790647675355,0.018745303613809015,42.230780692829995
v2_w2,5,0.0,0.004837409298575652,0.020895430727674334,72.75722495508543
v2_w2,6,0.0,0.00806234883095942,0.0781155010988932,121.66922032244864
v2_w2,8,0.0,0.0013437248051599033,0.022962069289866327,279.7234953848243
v2_w2,10,0.0,0.0010749798441279225,0.01543365226590483,551.4592364814636
v2_w2,12,0.0,0.0008062348830959419,0.02214935682868552,861.8128674181647
v2_w2,15,0.00913732867508732,0.0005374899220639613,0.017982285097986803,994.4564248072511
v2_w2,20,0.07148615963450689,0.002149959688255845,0.01921919043197555,999.1731150614143
v2_w2,25,0.166353130878796,0.0008062348830959419,0.014443610769901643,999.6029893068361
v2_w2,33,0.292125772641763,0.0018812147272238647,0.021844397661316947,995.5581521616454
v2_w2,50,0.4375167965600645,0.0008062348830959419,0.016229672943782657,999.9518220327438
v2_w2,75,0.5044342918570277,0.0018812147272238647,0.016796329228972662,997.8773972939651
v2_w2,100,0.5675893576995431,0.0016124697661918839,0.017576201469118733,997.7732188398062
vw_v2w,1,0.0,0.03574307981725343,0.01773109828394226,3.471741235763649
vw_v2w,2,0.0,0.02418704649287826,0.020915482849303117,4.907715035895535
vw_v2w,3,0.0,0.015587207739854878,0.02102841108474575,7.366298585144459
vw_v2w,4,0.0,0.0067186240257995165,0.01684304077998691,7.966748103027126
vw_v2w,5,0.0024187046492878395,0.0083310937919914,0.020895430727674334,290.7300490537031
vw_v2w,6,0.021768341843590444,0.009943563558183283,0.06781805787650186,331.5815579287152
vw_v2w,8,0.07578607901101853,0.0018812147272238647,0.019321330120530396,331.16594425645695
vw_v2w,10,0.11475409836065575,0.0018812147272238647,0.01543365226590483,565.3263625751932
vw_v2w,12,0.15130341306100514,0.0026874496103198066,0.025532805595892286,75.16874589223
vw_v2w,15,0.18274657350174683,0.0010749798441279225,0.015413081790014702,24.638202451718392
vw_v2w,20,0.1612469766191884,0.0032249395323837677,0.018732720227643607,16.14526487051077
vw_v2w,25,0.2397205052405268,0.0013437248051599033,0.019399036048592073,35.31034802118014
vw_v2w,33,0.2746573501746842,0.0010749798441279225,0.02275075821180186,53.25851338030452
vw_v2w,50,0.29185702768073096,0.002418704649287826,0.02637082787174292,678.2461017811389
vw_v2w,75,0.3155065842515453,0.0010749798441279225,0.016796329228972662,46.30875104018709
vw_v2w,100,0.3464122547702231,0.0008062348830959419,0.017576201469118733,82.5271336476941
v_w3,1,0.0,0.018812147272238646,0.01773109828394226,1.9652350198824575
v_w3,2,0.0,0.0083310937919914,0.020915482849303117,2.538132665516832
v_w3,3,0.0,0.005643644181671593,0.021557084214483248,3.437269933925807
v_w3,4,0.0,0.002149959688255845,0.01766029556026779,3.90893392462965
v_w3,5,0.0,0.002418704649287826,0.020895430727674334,5.476378622789768
v_w3,6,0.0,0.002149959688255845,0.0659221796346936,5.544556926258938
v_w3,8,0.0,0.0008062348830959419,0.022268003109010746,5.696526496242325
v_w3,10,0.0,0.0005374899220639613,0.01543365226590483,8.202808742523926
