window_size,dp_v,dp_v3,J
1,-1.425,0.975,1000.0
1,-1.425,1.0125,1000.0
1,-1.425,1.05,1000.0
1,-1.425,1.0875,1000.0
1,-1.425,1.125,1000.0
1,-1.425,1.1625,1000.0
1,-1.425,1.2,1000.0
1,-1.425,1.2375,1000.0
1,-1.425,1.275,1000.0
1,-1.425,1.3125,1000.0
1,-1.425,1.35,1000.0
1,-1.425,1.3875,1000.0
1,-1.425,1.425,1000.0
1,-1.425,1.4625,1000.0
1,-1.425,1.5,1000.0
1,-1.3875,-1.5,1.359970828563781
1,-1.3875,-1.4625,1.3536398073311708
1,-1.3875,-1.425,1.347118410675515
1,-1.3875,-1.3875,1.3404083316265731
1,-1.3875,-1.35,1.3335076826124115
1,-1.3875,-1.3125,1.3264127512763362
1,-1.3875,-1.275,1.3191187619458757
1,-1.3875,-1.2375,1.311620194125168
1,-1.3875,-1.2,1.3039109075965727
1,-1.3875,-1.1625,1.2959841781521713
1,-1.3875,-1.125,1.2878326875235517
1,-1.3875,-1.0875,1.2794484865909392
1,-1.3875,-1.05,1.2708229408249898
1,-1.3875,-1.0125,1.2619466625163311
1,-1.3875,-0.975,1.252809432262631
1,-1.3875,-0.9375,1.2434001110290167
1,-1.3875,-0.9,1.2337065433048238
1,-1.3875,-0.8625,1.2237154512126724
1,-1.3875,-0.825,1.213412318793747
1,-1.3875,-0.7875,1.2027812650658551
1,-1.3875,-0.75,1.1918049038198966
1,-1.3875,-0.7125,1.1804641874804493
1,-1.3875,-0.675,1.1687382316951629
1,-1.3875,-0.6375,1.1566041166139183
1,-1.3875,-0.6,1.144036660040035
1,-1.3875,-0.5625,1.1310081567400565
1,-1.3875,-0.525,1.117488077133871
1,-1.3875,-0.4875,1.1034427172912022
1,-1.3875,-0.45,1.0888347905601994
1,-1.3875,-0.4125,1.0736229491615454
1,-1.3875,-0.375,1.0577612215934704
1,-1.3875,-0.3375,1.0411983485871945
1,-1.3875,-0.3,1.023876996489892
1,-1.3875,-0.2625,1.0057328221861064
1,-1.3875,-0.225,0.9866933578696373
1,-1.3875,-0.1875,0.9666766770983377
1,-1.3875,-0.15,0.9455897957800332
1,-1.3875,-0.1125,0.923326753762028
1,-1.3875,-0.075,0.8997663164609486
1,-1.3875,-0.0375,0.874769236115891
1,-1.3875,0.0,0.8481750294513016
1,-1.3875,0.0375,0.8197982870914013
1,-1.3875,0.075,0.7894246858037341
1,-1.3875,0.1125,0.7568072590412662
1,-1.3875,0.15,0.7216644158456611
1,-1.3875,0.1875,0.6836835108520292
1,-1.3875,0.225,0.6425397385857161
1,-1.3875,0.2625,0.5979566026271912
1,-1.3875,0.3,0.5498842721196868
1,-1.3875,0.3375,0.4990686724673567
1,-1.3875,0.375,0.4490639610882509
1,-1.3875,0.4125,0.41460744555022117
1,-1.3875,0.45,0.50424018530974
1,-1.3875,0.4875,1000.0
1,-1.3875,0.525,1000.0
1,-1.3875,0.5625,1000.0
1,-1.3875,0.6,1000.0
1,-1.3875,0.6375,1000.0
1,-1.3875,0.675,1000.0
1,-1.3875,0.7125,1000.0
1,-1.3875,0.75,1000.0
1,-1.3875,0.7875,1000.0
1,-1.3875,0.825,1000.0
1,-1.3875,0.8625,1000.0
1,-1.3875,0.9,1000.0
1,-1.3875,0.9375,1000.0
1,-1.3875,0.975,1000.0
1,-1.3875,1.0125,1000.0
1,-1.3875,1.05,1000.0
1,-1.3875,1.0875,1000.0
1,-1.3875,1.125,1000.0
1,-1.3875,1.1625,1000.0
1,-1.3875,1.2,1000.0
1,-1.3875,1.2375,1000.0
1,-1.3875,1.275,1000.0
1,-1.3875,1.3125,1000.0
1,-1.3875,1.35,1000.0
1,-1.3875,1.3875,1000.0
1,-1.3875,1.425,1000.0
1,-1.3875,1.4625,1000.0
1,-1.3875,1.5,1000.0
1,-1.35,-1.5,1.3419651296761501
1,-1.35,-1.4625,1.335465265405273
1,-1.35,-1.425,1.3287732774174899
1,-1.35,-1.3875,1.321890131179844
1,-1.35,-1.35,1.3148135172479005
1,-1.35,-1.3125,1.3075394286919617
1,-1.35,-1.275,1.300062844324641
1,-1.35,-1.2375,1.2923780137712355
1,-1.35,-1.2,1.2844785673762222
1,-1.35,-1.1625,1.276357544185756
1,-1.35,-1.125,1.2680073773310927
1,-1.35,-1.0875,1.2594198541806048
1,-1.35,-1.05,1.2505860594771128
1,-1.35,-1.0125,1.2414963056630994
1,-1.35,-0.975,1.2321400526648703
1,-1.35,-0.9375,1.2225058183156121
1,-1.35,-0.9,1.2125810798311005
1,-1.35,-0.8625,1.202352166097818
1,-1.35,-0.825,1.1918041399098889
1,-1.35,-0.7875,1.1809206686715745
1,-1.35,-0.75,1.1696838814588952
1,-1.35,-0.7125,1.158074209701266
1,-1.35,-0.675,1.1460702080895915
1,-1.35,-0.6375,1.13364835161897
1,-1.35,-0.6,1.1207828039001932
1,-1.35,-0.5625,1.1074451509833292
1,-1.35,-0.525,1.0936040938790856
1,-1.35,-0.4875,1.07922509168025
1,-1.35,-0.45,1.0642699456081732
1,-1.35,-0.4125,1.0486963123583681
1,-1.35,-0.375,1.032457132704133
1,-1.35,-0.3375,1.015499958336736
1,-1.35,-0.3,0.9977661562708824
1,-1.35,-0.2625,0.979189965736332
1,-1.35,-0.225,0.9596973772808235
1,-1.35,-0.1875,0.939204797950643
1,-1.35,-0.15,0.9176174603743962
1,-1.35,-0.1125,0.8948275286183512
1,-1.35,-0.075,0.8707118527639688
1,-1.35,-0.0375,0.845129333876854
1,-1.35,0.0,0.8179178959196135
1,-1.35,0.0375,0.7888911533852893
1,-1.35,0.075,0.7578350856463397
