v,w,dv,dw
-1.25,-0.625,0.5260416666666666,-0.0040000000000000036
-1.25,-0.5,0.40104166666666663,-0.01200000000000001
-1.25,-0.375,0.27604166666666663,-0.020000000000000018
-1.25,-0.25,0.15104166666666663,-0.02800000000000001
-1.25,-0.125,0.02604166666666663,-0.036000000000000004
-1.25,0.0,-0.09895833333333337,-0.04400000000000001
-1.25,0.125,-0.22395833333333337,-0.05200000000000001
-1.25,0.25,-0.34895833333333337,-0.06000000000000001
-1.25,0.375,-0.47395833333333337,-0.068
-1.25,0.5,-0.5989583333333334,-0.07600000000000001
-1.25,0.625,-0.7239583333333334,-0.08400000000000002
-1.25,0.75,-0.8489583333333334,-0.09200000000000001
-1.25,0.875,-0.9739583333333334,-0.1
-1.25,1.0,-1.0989583333333335,-0.10800000000000001
-1.25,1.125,-1.2239583333333335,-0.11600000000000002
-1.25,1.25,-1.3489583333333335,-0.12400000000000001
-1.25,1.375,-1.4739583333333335,-0.132
-1.25,1.5,-1.5989583333333335,-0.14
-1.25,1.625,-1.7239583333333335,-0.14800000000000002
-1.25,1.75,-1.8489583333333335,-0.15600000000000003
-1.25,1.875,-1.9739583333333335,-0.164
-1.25,2.0,-2.0989583333333335,-0.17200000000000001
-1.0416666666666667,-1.0,0.8350935570987654,0.03666666666666665
-1.0416666666666667,-0.875,0.7100935570987654,0.028666666666666646
-1.0416666666666667,-0.75,0.5850935570987654,0.020666666666666653
-1.0416666666666667,-0.625,0.4600935570987654,0.01266666666666666
-1.0416666666666667,-0.5,0.3350935570987654,0.004666666666666652
-1.0416666666666667,-0.375,0.21009355709876543,-0.003333333333333355
-1.0416666666666667,-0.25,0.08509355709876543,-0.011333333333333348
-1.0416666666666667,-0.125,-0.03990644290123457,-0.01933333333333334
-1.0416666666666667,0.0,-0.16490644290123457,-0.02733333333333335
-1.0416666666666667,0.125,-0.2899064429012346,-0.03533333333333335
-1.0416666666666667,0.25,-0.4149064429012346,-0.04333333333333335
-1.0416666666666667,0.375,-0.5399064429012346,-0.05133333333333335
-1.0416666666666667,0.5,-0.6649064429012346,-0.05933333333333335
-1.0416666666666667,0.625,-0.7899064429012346,-0.06733333333333336
-1.0416666666666667,0.75,-0.9149064429012346,-0.07533333333333335
-1.0416666666666667,0.875,-1.0399064429012346,-0.08333333333333334
-1.0416666666666667,1.0,-1.1649064429012346,-0.09133333333333335
-1.0416666666666667,1.125,-1.2899064429012346,-0.09933333333333336
-1.0416666666666667,1.25,-1.4149064429012346,-0.10733333333333335
-1.0416666666666667,1.375,-1.5399064429012346,-0.11533333333333334
-1.0416666666666667,1.5,-1.6649064429012348,-0.12333333333333335
-1.0416666666666667,1.625,-1.7899064429012348,-0.13133333333333336
-1.0416666666666667,1.75,-1.9149064429012348,-0.13933333333333336
-1.0416666666666667,1.875,-2.039906442901235,-0.14733333333333334
-1.0416666666666667,2.0,-2.164906442901235,-0.15533333333333335
-0.8333333333333334,-1.0,0.8595679012345678,0.05333333333333333
-0.8333333333333334,-0.875,0.7345679012345678,0.04533333333333332
-0.8333333333333334,-0.75,0.6095679012345678,0.03733333333333333
-0.8333333333333334,-0.625,0.4845679012345679,0.029333333333333336
-0.8333333333333334,-0.5,0.3595679012345679,0.02133333333333333
-0.8333333333333334,-0.375,0.2345679012345679,0.013333333333333322
-0.8333333333333334,-0.25,0.10956790123456789,0.005333333333333329
-0.8333333333333334,-0.125,-0.015432098765432112,-0.0026666666666666644
-0.8333333333333334,0.0,-0.1404320987654321,-0.010666666666666672
-0.8333333333333334,0.125,-0.2654320987654321,-0.01866666666666667
-0.8333333333333334,0.25,-0.3904320987654321,-0.026666666666666672
-0.8333333333333334,0.375,-0.5154320987654322,-0.03466666666666667
-0.8333333333333334,0.5,-0.6404320987654322,-0.04266666666666667
-0.8333333333333334,0.625,-0.7654320987654322,-0.05066666666666667
-0.8333333333333334,0.75,-0.8904320987654322,-0.05866666666666667
-0.8333333333333334,0.875,-1.0154320987654322,-0.06666666666666668
-0.8333333333333334,1.0,-1.1404320987654322,-0.07466666666666667
-0.8333333333333334,1.125,-1.2654320987654322,-0.08266666666666668
-0.8333333333333334,1.25,-1.3904320987654322,-0.09066666666666667
-0.8333333333333334,1.375,-1.5154320987654322,-0.09866666666666667
-0.8333333333333334,1.5,-1.6404320987654322,-0.10666666666666667
-0.8333333333333334,1.625,-1.7654320987654322,-0.11466666666666668
-0.8333333333333334,1.75,-1.8904320987654322,-0.12266666666666667
-0.8333333333333334,1.875,-2.0154320987654324,-0.13066666666666665
-0.8333333333333334,2.0,-2.1404320987654324,-0.13866666666666666
-0.625,-1.0,0.9563802083333334,0.06999999999999999
-0.625,-0.875,0.8313802083333334,0.061999999999999986
-0.625,-0.75,0.7063802083333334,0.05399999999999999
-0.625,-0.625,0.5813802083333334,0.046
-0.625,-0.5,0.4563802083333333,0.03799999999999999
-0.625,-0.375,0.3313802083333333,0.029999999999999985
-0.625,-0.25,0.20638020833333331,0.021999999999999992
-0.625,-0.125,0.08138020833333333,0.013999999999999999
-0.625,0.0,-0.04361979166666667,0.0059999999999999915
-0.625,0.125,-0.16861979166666669,-0.0020000000000000087
-0.625,0.25,-0.2936197916666667,-0.010000000000000009
-0.625,0.375,-0.4186197916666667,-0.01800000000000001
-0.625,0.5,-0.5436197916666666,-0.02600000000000001
-0.625,0.625,-0.6686197916666666,-0.03400000000000001
-0.625,0.75,-0.7936197916666666,-0.04200000000000001
-0.625,0.875,-0.9186197916666666,-0.05000000000000001
-0.625,1.0,-1.0436197916666667,-0.05800000000000001
-0.625,1.125,-1.1686197916666667,-0.06600000000000002
-0.625,1.25,-1.2936197916666667,-0.07400000000000001
-0.625,1.375,-1.4186197916666667,-0.082
-0.625,1.5,-1.5436197916666667,-0.09000000000000001
-0.625,1.625,-1.6686197916666667,-0.09800000000000002
