window_size,dp_xy_x,dp_xy_y,J
1,-0.9875,0.5,2.445678218386062
1,-0.9875,0.51,2.4804610122829223
1,-0.9875,0.52,2.5158602403378088
1,-0.9875,0.53,2.5518811179835357
1,-0.9875,0.54,2.5885288552525982
1,-0.9875,0.55,2.6258086560273335
1,-0.9875,0.56,2.6637257172887363
1,-0.9875,0.57,2.702285228364125
1,-0.9875,0.58,2.7414923701739946
1,-0.9875,0.59,2.7813523144782595
1,-0.9875,0.6,2.8218702231222776
1,-0.9875,0.61,2.8630512472828307
1,-0.9875,0.62,2.9049005267144143
1,-0.9875,0.63,2.9474231889960922
1,-0.9875,0.64,2.9906243487791997
1,-0.9875,0.65,3.0345091070362136
1,-0.9875,0.66,3.079082550311013
1,-0.9875,0.67,3.12434974997089
1,-0.9875,0.68,3.170315761460516
1,-0.9875,0.69,3.2169856235582497
1,-0.9875,0.7,3.264364357634953
1,-0.9875,0.71,3.312456966915696
1,-0.9875,0.72,3.3612684357446057
1,-0.9875,0.73,3.410803728853079
1,-0.9875,0.74,3.4610677906317684
1,-0.9875,0.75,3.512065544406471
1,-0.9875,0.76,3.563801891718341
1,-0.9875,0.77,3.6162817116085773
1,-0.9875,0.78,3.669509859907938
1,-0.9875,0.79,3.723491168531348
1,-0.9875,0.8,3.778230444777802
1,-0.975,-0.8,1.3513187651564824
1,-0.975,-0.79,1.344808123379295
1,-0.975,-0.78,1.338390237699016
1,-0.975,-0.77,1.332067257594102
1,-0.975,-0.76,1.325841361995405
1,-0.975,-0.75,1.3197147594913594
1,-0.975,-0.74,1.3136896885302944
1,-0.975,-0.73,1.3077684176197089
1,-0.975,-0.72,1.3019532455224245
1,-0.975,-0.71,1.29624650144946
1,-0.975,-0.7,1.2906505452495174
1,-0.975,-0.69,1.2851677675949507
1,-0.975,-0.68,1.2798005901640674
1,-0.975,-0.67,1.2745514658196673
1,-0.975,-0.66,1.2694228787836583
1,-0.975,-0.65,1.2644173448076288
1,-0.975,-0.64,1.2595374113392406
1,-0.975,-0.63,1.2547856576843168
1,-0.975,-0.62,1.250164695164471
1,-0.975,-0.61,1.2456771672701665
1,-0.975,-0.6,1.2413257498090444
1,-0.975,-0.59,1.237113151049413
1,-0.975,-0.58,1.2330421118587316
1,-0.975,-0.57,1.2291154058369649
1,-0.975,-0.56,1.2253358394446883
1,-0.975,-0.55,1.221706252125763
1,-0.975,-0.54,1.2182295164244843
1,-0.975,-0.53,1.214908538097043
1,-0.975,-0.52,1.2117462562171715
1,-0.975,-0.51,1.2087456432758206
1,-0.975,-0.5,1.2059097052747532
1,-0.975,-0.49,1.2032414818138928
1,-0.975,-0.48,1.2007440461723058
1,-0.975,-0.47,1.1984205053826744
1,-0.975,-0.46,1.1962740002991237
1,-0.975,-0.45,1.1943077056582638
1,-0.975,-0.44,1.1925248301333164
1,-0.975,-0.43,1.1909286163811947
1,-0.975,-0.42,1.1895223410823914
1,-0.975,-0.41,1.18830931497355
1,-0.975,-0.4,1.187292882872593
1,-0.975,-0.39,1.1864764236962602
1,-0.975,-0.38,1.1858633504699487
1,-0.975,-0.37,1.1854571103297067
1,-0.975,-0.36,1.185261184516275
1,-0.975,-0.35,1.1852790883610371
1,-0.975,-0.34,1.185514371263787
1,-0.975,-0.33,1.1859706166670743
1,-0.975,-0.32,1.1866514427486639
1,-0.975,-0.31,1.1875606105637992
1,-0.975,-0.3,1.1887130243452313
1,-0.975,-0.29,1.1901615261126193
1,-0.975,-0.28,1.1918607458263182
1,-0.975,-0.27,1.1938032510766174
1,-0.975,-0.26,1.1959927523171607
1,-0.975,-0.25,1.1984331024073123
1,-0.975,-0.24,1.2011281883116445
1,-0.975,-0.23,1.2040819302483963
1,-0.975,-0.22,1.2072982815549764
1,-0.975,-0.21,1.2107812285487964
1,-0.975,-0.2,1.2145347903784223
1,-0.975,-0.19,1.2185630188649932
1,-0.975,-0.18,1.2228699983337696
1,-0.975,-0.17,1.2274598454357772
1,-0.975,-0.16,1.2323367089594572
1,-0.975,-0.15,1.23750476963224
1,-0.975,-0.14,1.2429682399120243
1,-0.975,-0.13,1.2487313637684336
1,-0.975,-0.12,1.2547984164538657
1,-0.975,-0.11,1.26117370426422
1,-0.975,-0.1,1.2678615642893047
1,-0.975,-0.09,1.2748663641528493
1,-0.975,-0.08,1.2821925017420992
1,-0.975,-0.07,1.2898444049269495
1,-0.975,-0.06,1.2978265312685993
1,-0.975,-0.05,1.3061433677176895
1,-0.975,-0.04,1.3147994303019206
1,-0.975,-0.03,1.3237992638031175
1,-0.975,-0.02,1.3331474414237527
1,-0.975,-0.01,1.3428485644429062
1,-0.975,0.0,1.3529072618616707
1,-0.975,0.01,1.363328190038012
1,-0.975,0.02,1.3741160323110928
1,-0.975,0.03,1.385275498615072
1,-0.975,0.04,1.3968113250824161
1,-0.975,0.05,1.4087282736367421
1,-0.975,0.06,1.4210311315752195
1,-0.975,0.07,1.4337247111405815
1,-0.975,0.08,1.4468138490827993
1,-0.975,0.09,1.4603034062104456
1,-0.975,0.1,1.474198266931828
1,-0.975,0.11,1.4885033387859332
1,-0.975,0.12,1.503223551963287
