system,arm,seed,optimizer,window_size,J,p_err,score,support_recall,false_positives,wall_s,f_calls,iterations,converged,blowup,seed_p_err
lorenz,reset,1,nm,5,1000.0,31.55062430744846,0.06666666666666667,1.0,22,0.0010368824005126953,35,0,true,true,31.55062430744846
lorenz,reset,1,nm,10,1000.0,31.55062430744846,0.06666666666666667,1.0,22,0.0010290145874023438,35,0,true,true,31.55062430744846
lorenz,reset,1,nm,25,1000.0,31.55062430744846,0.06666666666666667,1.0,22,0.0010380744934082031,35,0,true,true,31.55062430744846
lorenz,reset,1,nm,50,1000.0,31.55062430744846,0.06666666666666667,1.0,22,0.0010349750518798828,35,0,true,true,31.55062430744846
lorenz,reset,1,nm,100,1000.0,31.55062430744846,0.06666666666666667,1.0,22,0.0010349750518798828,35,0,true,true,31.55062430744846
lorenz,reset,3,nm,1,1.1021528121108546,31.750703333097054,0.16666666666666666,0.8571428571428571,18,4.9339799880981445,4903,4000,false,false,31.371860103273352
lorenz,reset,3,nm,2,2.232880115556906,30.914605245257494,0.13333333333333333,0.8571428571428571,20,4.875646114349365,4839,4000,false,false,31.371860103273352
lorenz,reset,3,nm,5,6.239626954227488,32.80444461892091,0.1,0.8571428571428571,20,5.0136308670043945,4984,4000,false,false,31.371860103273352
lorenz,reset,3,nm,10,1000.0,31.371860103273352,0.03333333333333333,0.7142857142857143,22,0.002042055130004883,35,0,true,true,31.371860103273352
lorenz,reset,3,nm,25,1000.0,31.371860103273352,0.03333333333333333,0.7142857142857143,22,0.002048015594482422,35,0,true,true,31.371860103273352
lorenz,reset,3,nm,50,1000.0,31.371860103273352,0.03333333333333333,0.7142857142857143,22,0.002045869827270508,35,0,true,true,31.371860103273352
lorenz,reset,3,nm,100,1000.0,31.371860103273352,0.03333333333333333,0.7142857142857143,22,0.0020751953125,35,0,true,true,31.371860103273352
lorenz,propagate,1,bfgs,1,0.1986303293280898,13.28159134481734,0.7,0.8571428571428571,6,16.41963505744934,513,169,true,false,31.55062430744846
lorenz,propagate,1,bfgs,2,0.19031409210351283,12.603111181996102,0.7,1.0,6,7.04283595085144,227,81,true,false,31.55062430744846
lorenz,propagate,1,bfgs,5,0.20038773051762945,4.8923398041151165,0.5666666666666667,0.8571428571428571,10,7.79503321647644,256,90,true,false,31.55062430744846
lorenz,propagate,1,bfgs,10,0.1845251790873334,2.6457481849495874,0.6666666666666666,0.8571428571428571,9,6.699218034744263,233,78,true,false,31.55062430744846
lorenz,propagate,1,bfgs,25,0.17321650044655554,3.407008736725257,0.7333333333333333,0.8571428571428571,7,6.7556140422821045,258,73,true,false,31.55062430744846
lorenz,propagate,1,bfgs,50,0.15819260810993718,3.722941521415909,0.8333333333333334,0.8571428571428571,3,5.186815977096558,195,57,true,false,31.55062430744846
lorenz,propagate,1,bfgs,100,0.1520383100522501,3.851671830528539,0.8333333333333334,0.8571428571428571,3,5.81353497505188,210,60,true,false,31.55062430744846
lorenz,propagate,3,bfgs,1,0.19863032932809002,13.281591351014695,0.7,0.8571428571428571,6,12.488357067108154,428,144,true,false,31.371860103273352
lorenz,propagate,3,bfgs,2,0.1903140921035127,12.603111181077479,0.7,1.0,6,7.4743640422821045,227,81,true,false,31.371860103273352
lorenz,propagate,3,bfgs,5,0.20038773051762887,4.8923398183132045,0.5666666666666667,0.8571428571428571,10,7.684898853302002,256,90,true,false,31.371860103273352
lorenz,propagate,3,bfgs,10,0.18452517908733418,2.645748184197656,0.6666666666666666,0.8571428571428571,9,6.968080997467041,234,78,true,false,31.371860103273352
lorenz,propagate,3,bfgs,25,0.1732165004465559,3.4070087367253072,0.7333333333333333,0.8571428571428571,7,6.7189781665802,258,73,true,false,31.371860103273352
lorenz,propagate,3,bfgs,50,0.15819260810993685,3.722941521415813,0.8333333333333334,0.8571428571428571,3,5.158017873764038,195,57,true,false,31.371860103273352
lorenz,propagate,3,bfgs,100,0.15203831005225038,3.8516718305283413,0.8333333333333334,0.8571428571428571,3,5.799854040145874,210,60,true,false,31.371860103273352
lorenz,reset,1,bfgs,1,0.1986303293280898,13.28159134481734,0.7,0.8571428571428571,6,14.805408954620361,513,169,true,false,31.55062430744846
lorenz,reset,1,bfgs,2,0.19031409210351274,12.603111179554993,0.7,1.0,6,14.228847980499268,517,162,true,false,31.55062430744846
lorenz,reset,1,bfgs,5,1000.0,31.55062430744846,0.06666666666666667,1.0,22,0.0009200572967529297,1,0,true,true,31.55062430744846
lorenz,reset,1,bfgs,10,1000.0,31.55062430744846,0.06666666666666667,1.0,22,0.0009930133819580078,1,0,true,true,31.55062430744846
lorenz,reset,1,bfgs,25,1000.0,31.55062430744846,0.06666666666666667,1.0,22,0.0009150505065917969,1,0,true,true,31.55062430744846
lorenz,reset,1,bfgs,50,1000.0,31.55062430744846,0.06666666666666667,1.0,22,0.0009109973907470703,1,0,true,true,31.55062430744846
lorenz,reset,1,bfgs,100,1000.0,31.55062430744846,0.06666666666666667,1.0,22,0.0009100437164306641,1,0,true,true,31.55062430744846
lorenz,reset,3,bfgs,1,0.19863032932809002,13.281591351014695,0.7,0.8571428571428571,6,12.673516035079956,428,144,true,false,31.371860103273352
lorenz,reset,3,bfgs,2,0.1903140921035124,12.60311116809791,0.7,1.0,6,13.051153898239136,476,145,true,false,31.371860103273352
lorenz,reset,3,bfgs,5,0.20038773051762954,4.892339817633635,0.5666666666666667,0.8571428571428571,10,19.053575038909912,697,219,true,false,31.371860103273352
