method,setting,seed,iters,window_size,J,p_err,score,support_recall,false_positives,wall_s,f_calls,iterations,converged,blowup,seed_p_err
diffeq_Tsit5_adaptive,abstol=reltol=1e-8,1,1000,1,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.0722200870513916,24,0,true,true,1.840755564960906
diffeq_Tsit5_adaptive,abstol=reltol=1e-8,1,1000,2,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.00435185432434082,24,0,true,true,1.840755564960906
diffeq_Tsit5_adaptive,abstol=reltol=1e-8,1,1000,5,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.004431009292602539,24,0,true,true,1.840755564960906
diffeq_Tsit5_adaptive,abstol=reltol=1e-8,1,1000,10,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.004492998123168945,24,0,true,true,1.840755564960906
diffeq_Tsit5_adaptive,abstol=reltol=1e-8,1,1000,25,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.0044879913330078125,24,0,true,true,1.840755564960906
diffeq_Tsit5_adaptive,abstol=reltol=1e-8,1,1000,50,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.004509925842285156,24,0,true,true,1.840755564960906
diffeq_Tsit5_adaptive,abstol=reltol=1e-8,1,1000,100,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.004486083984375,24,0,true,true,1.840755564960906
diffeq_Tsit5_adaptive,abstol=reltol=1e-8,2,1000,1,0.043051737385755934,1.4684286693467432,0.45,0.2857142857142857,5,1.0849189758300781,1294,1000,false,false,1.5229286054636488
diffeq_Tsit5_adaptive,abstol=reltol=1e-8,2,1000,2,0.02832948795899149,1.216105382380542,0.5,0.8571428571428571,5,0.794064998626709,1293,1000,false,false,1.5229286054636488
diffeq_Tsit5_adaptive,abstol=reltol=1e-8,2,1000,5,0.030789674374218024,1.1762240250462763,0.4,0.7142857142857143,5,0.6238319873809814,1353,1000,false,false,1.5229286054636488
diffeq_Tsit5_adaptive,abstol=reltol=1e-8,2,1000,10,0.023926920226904,1.1211249477291831,0.4,0.7142857142857143,5,0.6160130500793457,1443,1000,false,false,1.5229286054636488
diffeq_Tsit5_adaptive,abstol=reltol=1e-8,2,1000,25,0.019075985405101963,1.077759396634028,0.4,0.7142857142857143,5,0.5875320434570312,1651,1000,false,false,1.5229286054636488
diffeq_Tsit5_adaptive,abstol=reltol=1e-8,2,1000,50,0.01831869133487262,1.0709846680386863,0.4,0.7142857142857143,5,0.702233076095581,1979,1000,false,false,1.5229286054636488
diffeq_Tsit5_adaptive,abstol=reltol=1e-8,2,1000,100,0.017509614588876357,1.0752127686088895,0.4,0.7142857142857143,5,0.6410090923309326,1938,1000,false,false,1.5229286054636488
diffeq_Rosenbrock23_adaptive,abstol=reltol=1e-8,1,1000,1,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.181837797164917,24,0,true,true,1.840755564960906
diffeq_Rosenbrock23_adaptive,abstol=reltol=1e-8,1,1000,2,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.09401607513427734,24,0,true,true,1.840755564960906
diffeq_Rosenbrock23_adaptive,abstol=reltol=1e-8,1,1000,5,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.09073591232299805,24,0,true,true,1.840755564960906
diffeq_Rosenbrock23_adaptive,abstol=reltol=1e-8,1,1000,10,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.08871293067932129,24,0,true,true,1.840755564960906
diffeq_Rosenbrock23_adaptive,abstol=reltol=1e-8,1,1000,25,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.0906209945678711,24,0,true,true,1.840755564960906
diffeq_Rosenbrock23_adaptive,abstol=reltol=1e-8,1,1000,50,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.0896141529083252,24,0,true,true,1.840755564960906
diffeq_Rosenbrock23_adaptive,abstol=reltol=1e-8,1,1000,100,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.0895988941192627,24,0,true,true,1.840755564960906
diffeq_Rosenbrock23_adaptive,abstol=reltol=1e-8,2,1000,1,0.043051769543681,1.4684286693467432,0.45,0.2857142857142857,5,6.369737148284912,1294,1000,false,false,1.5229286054636488
diffeq_Rosenbrock23_adaptive,abstol=reltol=1e-8,2,1000,2,0.028329479473534938,1.216105382380542,0.5,0.8571428571428571,5,5.562402963638306,1293,1000,false,false,1.5229286054636488
diffeq_Rosenbrock23_adaptive,abstol=reltol=1e-8,2,1000,5,0.028882572925120142,1.135266172620773,0.35,0.7142857142857143,8,6.682974100112915,1388,1000,false,false,1.5229286054636488
diffeq_Rosenbrock23_adaptive,abstol=reltol=1e-8,2,1000,10,0.02200541916350085,1.0932175768808041,0.4,0.7142857142857143,7,7.214929103851318,1450,1000,false,false,1.5229286054636488
diffeq_Rosenbrock23_adaptive,abstol=reltol=1e-8,2,1000,25,0.018382842789403428,1.070247868873398,0.4,0.7142857142857143,7,8.171249151229858,1701,1000,false,false,1.5229286054636488
diffeq_Rosenbrock23_adaptive,abstol=reltol=1e-8,2,1000,50,0.018011883491818703,1.061201244739052,0.4,0.7142857142857143,7,8.94522213935852,1883,1000,false,false,1.5229286054636488
diffeq_Rosenbrock23_adaptive,abstol=reltol=1e-8,2,1000,100,0.016929233977596214,1.063850982066965,0.4,0.7142857142857143,7,9.591753959655762,2011,1000,false,false,1.5229286054636488
