system,arm,seed,optimizer,window_size,index,value
lorenz,propagate,1,nm,25,15,1.3609954550631151
lorenz,propagate,1,nm,25,16,-0.04660619262340682
lorenz,propagate,1,nm,25,17,6.749759869564976
lorenz,propagate,1,nm,25,18,-0.24598679553527109
lorenz,propagate,1,nm,25,19,-0.010530763600074369
lorenz,propagate,1,nm,25,20,17.346926756442876
lorenz,propagate,1,nm,25,21,-0.6881244605822111
lorenz,propagate,1,nm,25,22,-0.22881825067163855
lorenz,propagate,1,nm,25,23,0.32520708174814467
lorenz,propagate,1,nm,25,24,-0.8677532820308432
lorenz,propagate,1,nm,25,25,-1.4007283932735917
lorenz,propagate,1,nm,25,26,-0.0601480729143272
lorenz,propagate,1,nm,25,27,0.3201174082673289
lorenz,propagate,1,nm,25,28,-0.0035884228358714076
lorenz,propagate,1,nm,25,29,0.20466449458003955
lorenz,propagate,1,nm,25,30,-3.514616369081961
lorenz,propagate,1,nm,25,31,0.10632449312445001
lorenz,propagate,1,nm,25,32,0.34680219181443606
lorenz,propagate,1,nm,25,33,0.5810165197211717
lorenz,propagate,1,nm,50,1,-12.542197060847672
lorenz,propagate,1,nm,50,2,-20.722989278128782
lorenz,propagate,1,nm,50,3,20.656293456979295
lorenz,propagate,1,nm,50,4,0.015340185939444416
lorenz,propagate,1,nm,50,5,-0.18209046378449706
lorenz,propagate,1,nm,50,6,0.009343537257610392
lorenz,propagate,1,nm,50,7,2.6782621326154925
lorenz,propagate,1,nm,50,8,0.23441770729265823
lorenz,propagate,1,nm,50,9,-0.009314630953665191
lorenz,propagate,1,nm,50,10,-0.03831079655599074
lorenz,propagate,1,nm,50,11,-0.295789825629083
lorenz,propagate,1,nm,50,12,0.1258303081872716
lorenz,propagate,1,nm,50,13,-0.15980840200654406
lorenz,propagate,1,nm,50,14,-6.938083491819631
lorenz,propagate,1,nm,50,15,1.3589405346068975
lorenz,propagate,1,nm,50,16,-0.047160192086714195
lorenz,propagate,1,nm,50,17,6.513506158249407
lorenz,propagate,1,nm,50,18,-0.23766579872588509
lorenz,propagate,1,nm,50,19,-0.010644579290951658
lorenz,propagate,1,nm,50,20,17.731683266840054
lorenz,propagate,1,nm,50,21,-0.6962650015840176
lorenz,propagate,1,nm,50,22,-0.23395764328701016
lorenz,propagate,1,nm,50,23,0.33717551324968065
lorenz,propagate,1,nm,50,24,-1.068956374574028
lorenz,propagate,1,nm,50,25,-1.295538473166684
lorenz,propagate,1,nm,50,26,-0.06043821397412697
lorenz,propagate,1,nm,50,27,0.33448154067402963
lorenz,propagate,1,nm,50,28,0.005012331977979244
lorenz,propagate,1,nm,50,29,0.1702560420464893
lorenz,propagate,1,nm,50,30,-3.8280924089892294
lorenz,propagate,1,nm,50,31,0.10629324794448423
lorenz,propagate,1,nm,50,32,0.45619018110914
lorenz,propagate,1,nm,50,33,0.4897878279382545
lorenz,propagate,1,nm,100,1,-12.506896140924663
lorenz,propagate,1,nm,100,2,-20.753341116337868
lorenz,propagate,1,nm,100,3,20.697613897177803
lorenz,propagate,1,nm,100,4,0.011526430739610658
lorenz,propagate,1,nm,100,5,-0.22136123844757175
lorenz,propagate,1,nm,100,6,0.009283917311273484
lorenz,propagate,1,nm,100,7,2.6997256812388915
lorenz,propagate,1,nm,100,8,0.23732100697086256
lorenz,propagate,1,nm,100,9,-0.007471504030993307
lorenz,propagate,1,nm,100,10,-0.03972793785660287
lorenz,propagate,1,nm,100,11,-0.3001660334794438
lorenz,propagate,1,nm,100,12,0.12611577189374013
lorenz,propagate,1,nm,100,13,-0.1537675560103979
lorenz,propagate,1,nm,100,14,-6.933150763934973
lorenz,propagate,1,nm,100,15,1.3835530385620962
lorenz,propagate,1,nm,100,16,-0.047129212885092656
lorenz,propagate,1,nm,100,17,6.380529722897318
lorenz,propagate,1,nm,100,18,-0.23301989699059905
lorenz,propagate,1,nm,100,19,-0.007808400588404854
lorenz,propagate,1,nm,100,20,17.71778577976897
lorenz,propagate,1,nm,100,21,-0.6969984644271083
lorenz,propagate,1,nm,100,22,-0.23556928641111172
lorenz,propagate,1,nm,100,23,0.33376368221118174
lorenz,propagate,1,nm,100,24,-0.5850198872304799
lorenz,propagate,1,nm,100,25,-1.2875758334000915
lorenz,propagate,1,nm,100,26,-0.06050129259199721
lorenz,propagate,1,nm,100,27,0.6071086051856258
lorenz,propagate,1,nm,100,28,-0.006212407855492609
lorenz,propagate,1,nm,100,29,0.1463156037342833
lorenz,propagate,1,nm,100,30,-3.848864355226883
lorenz,propagate,1,nm,100,31,0.10635488795620068
lorenz,propagate,1,nm,100,32,0.49241970897446635
lorenz,propagate,1,nm,100,33,0.4781749484094905
lorenz,propagate,3,nm,1,1,-12.395187268462916
lorenz,propagate,3,nm,1,2,-20.895350971031462
lorenz,propagate,3,nm,1,3,20.586556811241188
lorenz,propagate,3,nm,1,4,-0.3952248730710307
lorenz,propagate,3,nm,1,5,0.807718444097364
lorenz,propagate,3,nm,1,6,-0.04106127058379472
lorenz,propagate,3,nm,1,7,2.8401784262353402
lorenz,propagate,3,nm,1,8,0.2995957552658845
lorenz,propagate,3,nm,1,9,-0.4301013670585057
lorenz,propagate,3,nm,1,10,-0.9957622921500167
lorenz,propagate,3,nm,1,11,-0.3285054120930089
lorenz,propagate,3,nm,1,12,0.4309098725648153
lorenz,propagate,3,nm,1,13,0.142401853323237
lorenz,propagate,3,nm,1,14,0.7091504540811968
lorenz,propagate,3,nm,1,15,1.8072455634011253
lorenz,propagate,3,nm,1,16,-0.03399259431618642
lorenz,propagate,3,nm,1,17,-0.012041393761841792
lorenz,propagate,3,nm,1,18,-0.08646275812738222
lorenz,propagate,3,nm,1,19,0.6833594007006017
lorenz,propagate,3,nm,1,20,-1.244751166009506
lorenz,propagate,3,nm,1,21,-0.062492207615584
lorenz,propagate,3,nm,1,22,-0.7578209836550198
lorenz,propagate,3,nm,1,23,0.026906998079761095
lorenz,propagate,3,nm,1,24,0.24718813677299317
lorenz,propagate,3,nm,1,25,0.3972493993619311
lorenz,propagate,3,nm,1,26,-0.1091601528610398
lorenz,propagate,3,nm,1,27,-1.4568687843637644
lorenz,propagate,3,nm,1,28,0.07059112278802623
lorenz,propagate,3,nm,1,29,-0.5714531751014412
lorenz,propagate,3,nm,1,30,0.15947559263961666
lorenz,propagate,3,nm,1,31,-0.04319692825343153
lorenz,propagate,3,nm,1,32,1.7036123706404425
lorenz,propagate,3,nm,1,33,0.042554069527908654
lorenz,propagate,3,nm,2,1,-12.518264334469748
lorenz,propagate,3,nm,2,2,-20.72963605682734
lorenz,propagate,3,nm,2,3,20.706503997827053
lorenz,propagate,3,nm,2,4,-1.3906179577923574
lorenz,propagate,3,nm,2,5,1.2984061187576403
lorenz,propagate,3,nm,2,6,-0.054850818266619646
lorenz,propagate,3,nm,2,7,2.0765001155100578
lorenz,propagate,3,nm,2,8,0.23970511070341102
lorenz,propagate,3,nm,2,9,0.051154429607921145
lorenz,propagate,3,nm,2,10,0.06876921405355366
lorenz,propagate,3,nm,2,11,-0.2813227789847843
lorenz,propagate,3,nm,2,12,-0.22038807125372264
lorenz,propagate,3,nm,2,13,0.23159509565095976
lorenz,propagate,3,nm,2,14,-7.836400424832758
lorenz,propagate,3,nm,2,15,3.155794592175595
lorenz,propagate,3,nm,2,16,-0.11547992269872126
lorenz,propagate,3,nm,2,17,0.5568701822788639
lorenz,propagate,3,nm,2,18,-0.0005861575604355327
lorenz,propagate,3,nm,2,19,0.07651036289294377
lorenz,propagate,3,nm,2,20,17.22950921964222
lorenz,propagate,3,nm,2,21,-0.716430541977909
lorenz,propagate,3,nm,2,22,-0.4706733123396119
lorenz,propagate,3,nm,2,23,0.6075254959342471
lorenz,propagate,3,nm,2,24,-3.0928312490131074
lorenz,propagate,3,nm,2,25,-4.200083118757764
lorenz,propagate,3,nm,2,26,0.07292678985965728
lorenz,propagate,3,nm,2,27,0.24474021099616414
lorenz,propagate,3,nm,2,28,0.005479959459651965
lorenz,propagate,3,nm,2,29,0.14989650350474965
lorenz,propagate,3,nm,2,30,-0.9640889348837857
lorenz,propagate,3,nm,2,31,0.015224789947782175
lorenz,propagate,3,nm,2,32,1.111411234632377
lorenz,propagate,3,nm,2,33,-0.4188818779724678
lorenz,propagate,3,nm,5,1,-12.49727934706064
lorenz,propagate,3,nm,5,2,-20.751538056008073
lorenz,propagate,3,nm,5,3,20.682657004945415
lorenz,propagate,3,nm,5,4,-2.7081194066515626
lorenz,propagate,3,nm,5,5,0.8906442201697901
lorenz,propagate,3,nm,5,6,-0.04226772235342846
lorenz,propagate,3,nm,5,7,2.4389540405617773
lorenz,propagate,3,nm,5,8,0.2229317742940874
lorenz,propagate,3,nm,5,9,0.1607115901109214
lorenz,propagate,3,nm,5,10,-0.09342227673162122
lorenz,propagate,3,nm,5,11,-0.27377679282783357
lorenz,propagate,3,nm,5,12,-0.4440631501842487
