exp,arm,seed,window_size,index,value
schedule,dense,1,12,7,-0.22161473025361383
schedule,dense,1,12,8,0.10480029769812632
schedule,dense,1,12,9,0.08357908791044395
schedule,dense,1,12,10,-0.006610320937165477
schedule,dense,1,12,11,0.025655476559893593
schedule,dense,1,12,12,-0.06333143818900529
schedule,dense,1,12,13,0.038903944017657226
schedule,dense,1,12,14,0.2104974935858521
schedule,dense,1,12,15,0.0519751108061429
schedule,dense,1,12,16,0.2704127989650343
schedule,dense,1,12,17,-0.16648432210683925
schedule,dense,1,12,18,-0.2450992995880129
schedule,dense,1,12,19,0.1345466015045483
schedule,dense,1,12,20,-0.1571597191774339
schedule,dense,1,12,21,0.01635345709835445
schedule,dense,1,12,22,-0.01760725565047931
schedule,dense,1,13,1,-1.8633893588791945
schedule,dense,1,13,2,0.9432517283983279
schedule,dense,1,13,3,-0.013691541841944266
schedule,dense,1,13,4,0.09600615614130223
schedule,dense,1,13,5,-0.07590705549326547
schedule,dense,1,13,6,-0.1338782602544171
schedule,dense,1,13,7,-0.22161473025361383
schedule,dense,1,13,8,0.10480029769812632
schedule,dense,1,13,9,0.08357908791044395
schedule,dense,1,13,10,-0.006610320937165477
schedule,dense,1,13,11,0.025655476559893593
schedule,dense,1,13,12,-0.06333143818900529
schedule,dense,1,13,13,0.038903944017657226
schedule,dense,1,13,14,0.2104974935858521
schedule,dense,1,13,15,0.0519751108061429
schedule,dense,1,13,16,0.2704127989650343
schedule,dense,1,13,17,-0.16648432210683925
schedule,dense,1,13,18,-0.2450992995880129
schedule,dense,1,13,19,0.1345466015045483
schedule,dense,1,13,20,-0.1571597191774339
schedule,dense,1,13,21,0.01635345709835445
schedule,dense,1,13,22,-0.01760725565047931
schedule,dense,1,14,1,-1.8633893588791945
schedule,dense,1,14,2,0.9432517283983279
schedule,dense,1,14,3,-0.013691541841944266
schedule,dense,1,14,4,0.09600615614130223
schedule,dense,1,14,5,-0.07590705549326547
schedule,dense,1,14,6,-0.1338782602544171
schedule,dense,1,14,7,-0.22161473025361383
schedule,dense,1,14,8,0.10480029769812632
schedule,dense,1,14,9,0.08357908791044395
schedule,dense,1,14,10,-0.006610320937165477
schedule,dense,1,14,11,0.025655476559893593
schedule,dense,1,14,12,-0.06333143818900529
schedule,dense,1,14,13,0.038903944017657226
schedule,dense,1,14,14,0.2104974935858521
schedule,dense,1,14,15,0.0519751108061429
schedule,dense,1,14,16,0.2704127989650343
schedule,dense,1,14,17,-0.16648432210683925
schedule,dense,1,14,18,-0.2450992995880129
schedule,dense,1,14,19,0.1345466015045483
schedule,dense,1,14,20,-0.1571597191774339
schedule,dense,1,14,21,0.01635345709835445
schedule,dense,1,14,22,-0.01760725565047931
schedule,dense,1,15,1,-1.8633893588791945
schedule,dense,1,15,2,0.9432517283983279
schedule,dense,1,15,3,-0.013691541841944266
schedule,dense,1,15,4,0.09600615614130223
schedule,dense,1,15,5,-0.07590705549326547
schedule,dense,1,15,6,-0.1338782602544171
schedule,dense,1,15,7,-0.22161473025361383
schedule,dense,1,15,8,0.10480029769812632
schedule,dense,1,15,9,0.08357908791044395
schedule,dense,1,15,10,-0.006610320937165477
schedule,dense,1,15,11,0.025655476559893593
schedule,dense,1,15,12,-0.06333143818900529
schedule,dense,1,15,13,0.038903944017657226
schedule,dense,1,15,14,0.2104974935858521
schedule,dense,1,15,15,0.0519751108061429
schedule,dense,1,15,16,0.2704127989650343
schedule,dense,1,15,17,-0.16648432210683925
schedule,dense,1,15,18,-0.2450992995880129
schedule,dense,1,15,19,0.1345466015045483
schedule,dense,1,15,20,-0.1571597191774339
schedule,dense,1,15,21,0.01635345709835445
schedule,dense,1,15,22,-0.01760725565047931
schedule,dense,1,16,1,-1.8633893588791945
schedule,dense,1,16,2,0.9432517283983279
schedule,dense,1,16,3,-0.013691541841944266
schedule,dense,1,16,4,0.09600615614130223
schedule,dense,1,16,5,-0.07590705549326547
schedule,dense,1,16,6,-0.1338782602544171
schedule,dense,1,16,7,-0.22161473025361383
schedule,dense,1,16,8,0.10480029769812632
schedule,dense,1,16,9,0.08357908791044395
schedule,dense,1,16,10,-0.006610320937165477
schedule,dense,1,16,11,0.025655476559893593
schedule,dense,1,16,12,-0.06333143818900529
schedule,dense,1,16,13,0.038903944017657226
schedule,dense,1,16,14,0.2104974935858521
schedule,dense,1,16,15,0.0519751108061429
schedule,dense,1,16,16,0.2704127989650343
schedule,dense,1,16,17,-0.16648432210683925
schedule,dense,1,16,18,-0.2450992995880129
schedule,dense,1,16,19,0.1345466015045483
schedule,dense,1,16,20,-0.1571597191774339
schedule,dense,1,16,21,0.01635345709835445
schedule,dense,1,16,22,-0.01760725565047931
schedule,dense,1,17,1,-1.8633893588791945
schedule,dense,1,17,2,0.9432517283983279
schedule,dense,1,17,3,-0.013691541841944266
schedule,dense,1,17,4,0.09600615614130223
schedule,dense,1,17,5,-0.07590705549326547
schedule,dense,1,17,6,-0.1338782602544171
schedule,dense,1,17,7,-0.22161473025361383
schedule,dense,1,17,8,0.10480029769812632
schedule,dense,1,17,9,0.08357908791044395
schedule,dense,1,17,10,-0.006610320937165477
schedule,dense,1,17,11,0.025655476559893593
schedule,dense,1,17,12,-0.06333143818900529
schedule,dense,1,17,13,0.038903944017657226
schedule,dense,1,17,14,0.2104974935858521
schedule,dense,1,17,15,0.0519751108061429
schedule,dense,1,17,16,0.2704127989650343
schedule,dense,1,17,17,-0.16648432210683925
schedule,dense,1,17,18,-0.2450992995880129
schedule,dense,1,17,19,0.1345466015045483
schedule,dense,1,17,20,-0.1571597191774339
schedule,dense,1,17,21,0.01635345709835445
schedule,dense,1,17,22,-0.01760725565047931
schedule,dense,1,18,1,-1.8633893588791945
schedule,dense,1,18,2,0.9432517283983279
schedule,dense,1,18,3,-0.013691541841944266
schedule,dense,1,18,4,0.09600615614130223
schedule,dense,1,18,5,-0.07590705549326547
schedule,dense,1,18,6,-0.1338782602544171
schedule,dense,1,18,7,-0.22161473025361383
schedule,dense,1,18,8,0.10480029769812632
schedule,dense,1,18,9,0.08357908791044395
schedule,dense,1,18,10,-0.006610320937165477
schedule,dense,1,18,11,0.025655476559893593
schedule,dense,1,18,12,-0.06333143818900529
schedule,dense,1,18,13,0.038903944017657226
schedule,dense,1,18,14,0.2104974935858521
schedule,dense,1,18,15,0.0519751108061429
schedule,dense,1,18,16,0.2704127989650343
schedule,dense,1,18,17,-0.16648432210683925
schedule,dense,1,18,18,-0.2450992995880129
schedule,dense,1,18,19,0.1345466015045483
schedule,dense,1,18,20,-0.1571597191774339
schedule,dense,1,18,21,0.01635345709835445
schedule,dense,1,18,22,-0.01760725565047931
schedule,dense,1,19,1,-1.8633893588791945
schedule,dense,1,19,2,0.9432517283983279
schedule,dense,1,19,3,-0.013691541841944266
schedule,dense,1,19,4,0.09600615614130223
schedule,dense,1,19,5,-0.07590705549326547
schedule,dense,1,19,6,-0.1338782602544171
schedule,dense,1,19,7,-0.22161473025361383
schedule,dense,1,19,8,0.10480029769812632
schedule,dense,1,19,9,0.08357908791044395
schedule,dense,1,19,10,-0.006610320937165477
schedule,dense,1,19,11,0.025655476559893593
schedule,dense,1,19,12,-0.06333143818900529
schedule,dense,1,19,13,0.038903944017657226
schedule,dense,1,19,14,0.2104974935858521
schedule,dense,1,19,15,0.0519751108061429
schedule,dense,1,19,16,0.2704127989650343
