t,x,y,z,x_clean,y_clean,z_clean
0.3799999999999999,2.2973612253793303,3.792939994868301,21.34575517938501,2.1323766651741938,4.0590940104454045,21.24865455806742
0.3999999999999999,2.3771422903042234,4.325596933105664,20.261925934754625,2.503846506163872,4.310956971312928,20.334183101409714
0.41999999999999993,2.3959187591872615,4.695490300969268,19.378763016999077,2.8622805005092498,4.655802637451502,19.512411159907444
0.43999999999999995,3.409673390207605,5.150140848591046,18.876316103801013,3.227302973868896,5.098066615693392,18.788134059089142
0.45999999999999996,3.6120225739618546,5.529727263441193,18.16883734618079,3.6158498622011037,5.642903619789089,18.170062104749096
0.48,3.6976977842074823,6.250193036779453,17.63101817076388,4.042782278400089,6.296043034186217,17.671343115208206
0.5,4.787370003063744,6.9608162912825975,17.071884724554515,4.521302966282492,7.062997039721759,17.310339860139397
0.52,4.9912768530825256,7.897784397610298,17.00286819305573,5.063085074290229,7.947509842469205,17.11153711664494
0.54,5.418541168078289,8.886071585672099,17.12828590859897,5.678010160363478,8.94904713709395,17.106350613997723
0.56,6.125786960018085,10.172608787381476,17.188472077159823,6.373389304315835,10.05907941257832,17.33341983460081
0.5800000000000001,7.055300659176263,11.293465135847663,17.76044878057795,7.152523200266606,11.255979760158404,17.837665302989517
0.6000000000000001,8.099319355738611,12.325786060562441,18.70958467109341,8.012474541957031,12.498663544776006,18.66699573759205
0.6200000000000001,8.614842520734435,13.903246323184922,19.838587301498286,8.941032560439536,13.719827640500538,19.86519178098023
0.6400000000000001,9.775306235921539,14.721093425033423,21.445674749856163,9.913122552925193,14.820961208955934,21.4595299220563
0.6600000000000001,10.779617890586128,15.834044347624094,23.542311952147436,10.88742449156712,15.673079102330933,23.4428136183754
0.6800000000000002,11.854808939636044,16.102240457589737,25.792625440274495,11.804689243510984,16.128501452049868,25.752440602876064
0.7000000000000002,12.473966843636381,16.120037635072688,28.03152577306828,12.589894838783103,16.04795914903807,28.254007701549153
0.7200000000000002,13.286558591940766,15.438593119440844,30.39254125154207,13.160305303547377,15.341397116998614,30.741494111457914
0.7400000000000002,13.603504529844738,13.919664364630881,32.960157297917924,13.439866109337322,14.010115658952829,32.965034086569645
0.7599999999999998,13.480814011021225,12.5139938532227,34.64880855076192,13.377079622539837,12.16861493067972,34.685844707385385
0.7799999999999998,13.028305826640999,10.27129123170293,35.623355159242045,12.960132533562492,10.027619428629535,35.73932513339129
0.7999999999999998,12.212740121036525,7.807998937945671,35.987769968770756,12.222464697107382,7.839497678019194,36.07623917852444
0.8199999999999998,11.155829697298834,5.81018533117631,35.61440102699146,11.235737511995923,5.830824652403846,35.76166630594632
0.8399999999999999,9.9408675006069,4.322761127900319,35.00722154798168,10.09319377974523,4.153620669103823,34.9366131123144
0.8599999999999999,8.986572033076019,2.572054115592539,33.54507325403331,8.890402419140052,2.871576240294634,33.766480702528874
0.8799999999999999,7.85012065029776,2.110405083970283,32.29114290407489,7.70997265658947,1.9758135351051092,32.40027006319584
0.8999999999999999,6.601931131963656,1.377957429657469,30.892119329425874,6.613364637010161,1.4135025817194082,30.950620521181897
0.9199999999999999,5.598911743482368,1.3316685928035785,29.72761536321731,5.6393742195780225,1.114752900867029,29.491668609623147
0.94,4.919142646309874,0.9112483982662507,28.174182446726604,4.807015308160033,1.0110085901062504,28.066492246458733
0.96,3.9396852355889718,0.9755267616336789,26.900449239796696,4.12035845536246,1.0445774429611663,26.69703911763658
0.98,3.72373663382497,0.9566857575421422,25.128871148056213,3.5735769454932633,1.1717702085732498,25.39268863680945
1.0,3.369785168360245,1.3167426506677178,24.45598298291256,3.155270872726896,1.362420563501834,24.156265119293156
