t,v,w,v_clean,w_clean
35.0,0.6474564028430315,1.3544978114305821,0.6023578851409175,1.390256516645133
36.0,-6.558618530540933e-5,1.3823640875773282,0.0507888308591093,1.3863953129014868
37.0,-1.268700902381726,1.3447176364891125,-1.203715789760869,1.314188914139211
38.0,-1.9261160738091783,1.1447997669400989,-1.9438760961918802,1.1555843310583682
39.0,-2.109821601590168,1.0155080787267945,-1.953906202159541,0.98603005381182
40.0,-1.9877320457334957,0.8430275535219565,-1.9000350109728283,0.8297840878260065
41.0,-1.8611237669245497,0.6829137695078156,-1.843243590367053,0.6875705169250692
42.0,-1.7942077594802224,0.5350262260116185,-1.7868025027874834,0.5585638596035103
43.0,-1.7447806115570708,0.4534550130272823,-1.7308594487101991,0.44190910475967626
44.0,-1.7288396746453414,0.3228136970888296,-1.675355351805543,0.33680390902096485
45.0,-1.703618853389809,0.23555331334618995,-1.6202044893384402,0.24250149361364987
46.0,-1.6183562625858707,0.1691464288348624,-1.5653049562359882,0.15830864597404593
47.0,-1.5201002214618742,0.036381447564707035,-1.5105350414372858,0.08358376636958507
48.0,-1.4825948353563436,0.003065157449063133,-1.4557463350694824,0.017735454369172877
49.0,-1.4027239792803257,-0.049297304264769075,-1.4007534331732567,-0.039778157588144916
50.0,-1.3869063110229458,-0.06364603188435047,-1.345318396182056,-0.08944904210888066
51.0,-1.1794149396292974,-0.09413400672752986,-1.2891265695905523,-0.13171742337310033
52.0,-1.1473480094925947,-0.14396331576208282,-1.2317475840699803,-0.16696763778853468
53.0,-1.0873921030985116,-0.18171131188267295,-1.17256976378938,-0.19552029142613592
54.0,-1.1258507196259466,-0.22501103319851593,-1.1106842886472776,-0.21761806676720818
55.0,-1.0522402265941209,-0.25143763829231175,-1.0446684561779886,-0.23339995232524136
56.0,-0.9270933712653001,-0.21766969647017087,-0.9721510472529938,-0.2428528660858205
57.0,-0.975787673847884,-0.26299242561348035,-0.8888637384992549,-0.24571543195623513
58.0,-0.717203678285931,-0.22746250422714084,-0.7863409425347094,-0.24127006774448873
59.0,-0.6511332682543701,-0.21706666634996463,-0.6455533288734847,-0.22784052524368187
60.0,-0.4401300181032084,-0.17466094445650182,-0.41624984717204644,-0.20138647234810292
61.0,-0.004822088352476633,-0.16386706392469977,0.05741613617150184,-0.15090397408638123
62.0,1.1135638715339935,-0.10417715352687082,1.0895492244804232,-0.04613351352947154
63.0,1.7398847331179188,0.11607273842260957,1.8068464377928783,0.13058746711315575
64.0,1.7622840146863965,0.36316525125024535,1.8381052414912256,0.31953253884133576
65.0,1.858313772532062,0.49389124097002246,1.7710473604049082,0.4939201483836222
66.0,1.710250413477459,0.6207680871002204,1.6941950222824205,0.651805464766856
67.0,1.7545916025175385,0.8169489446733573,1.6141688829409329,0.7938174631767909
68.0,1.4631291381330827,0.9146664749321028,1.5307251031067528,0.9206961616622167
69.0,1.3550738009721444,1.0396157867431666,1.4425584929577457,1.0330684676813522
70.0,1.3178194168572777,1.1362973122578268,1.3475255657447942,1.1313904286122554
71.0,1.2078870453499508,1.1751929178165614,1.242040308021996,1.2158732420113836
72.0,1.1579798417208564,1.2552089428756217,1.1195576292142893,1.2863359536897692
73.0,0.988704722279021,1.341536501734411,0.9665834127305102,1.3418704080136656
74.0,0.8038582086357864,1.3625772065418709,0.7502437866635241,1.3799571296323545
75.0,0.371926492535351,1.3965132002575302,0.37061876881582306,1.3936233414372583
76.0,-0.5334781644010416,1.3873217411626988,-0.5150660974067017,1.3607272205375602
77.0,-1.677061232463593,1.2565195694969866,-1.7716287459932685,1.2366038703202147
78.0,-2.0156522024137513,1.0188882137014377,-1.9698342204371417,1.0651021898446522
79.0,-1.8687248602785256,0.9463617268167379,-1.9266284911758889,0.9021206048055115
80.0,-1.8668447212976265,0.7551819346366915,-1.8701801405806666,0.7533383919317059
81.0,-1.83845227728977,0.6193206693508918,-1.813515702202906,0.6181753127379672
82.0,-1.6625536066531623,0.47881832221969417,-1.7573403340754414,0.495764107589814
83.0,-1.667861240844588,0.41087182080391427,-1.7016376677164882,0.3852760961270791
84.0,-1.7542716102647316,0.29607315845009285,-1.6463309051506791,0.2859383363559453
85.0,-1.5730522714366058,0.2324061764964538,-1.5913259691709314,0.19703247050098824
86.0,-1.6721483439170193,0.06514416504304954,-1.5365112330816215,0.11789262710052763
87.0,-1.5463494767541903,0.02670833884429734,-1.4817519992639923,0.047903724448870894
88.0,-1.4777993398247602,-0.006787155655740277,-1.4268819726237472,-0.013499578082045575
89.0,-1.3558918153087096,-0.0803532309490681,-1.3716905190586117,-0.06683304993664814
90.0,-1.3057552547667581,-0.11222626186181558,-1.3159031415159304,-0.11256181753444992
91.0,-1.3148803484091094,-0.13904068927251054,-1.2591505440347897,-0.1510974385929463
92.0,-1.227848583215335,-0.13919148866344835,-1.2009176645702162,-0.1827920512296592
93.0,-1.0337774581347945,-0.17380969590676554,-1.140455812970114,-0.2079276418539926
94.0,-0.9946027414460465,-0.22795286083524888,-1.0766229211803777,-0.2266966752655661
95.0,-1.107684602063882,-0.20778149971481852,-1.0075740642761035,-0.2391664186476703
96.0,-1.0256350726673422,-0.24122685982307643,-0.9301140444241105,-0.24521010711009142
97.0,-0.7740831022381067,-0.2779771677896563,-0.8382084454100253,-0.24436441074708537
98.0,-0.6712672073236214,-0.26842696921196313,-0.719127605232675,-0.23550410628577906
99.0,-0.6838078574737383,-0.21409578436478638,-0.5418692802877777,-0.21599671775944634
100.0,-0.29653478969913594,-0.23374351663312876,-0.21653543723977028,-0.17912304370459034
