arm,seed,window_size,t,x,y
reset,1,2,11.839999999999836,1.5677889374145872,3.5383799038301817
reset,1,2,11.859999999999836,1.5423649915410649,3.51594167544485
reset,1,2,11.879999999999836,1.517698919770507,3.493238607709716
reset,1,2,11.899999999999835,1.4937732854953838,3.4702925228537342
reset,1,2,11.919999999999835,1.4705708260970447,3.4471244686197053
reset,1,2,11.939999999999834,1.448074479006249,3.423754727047571
reset,1,2,11.959999999999834,1.4262674047876895,3.4002028247984515
reset,1,2,11.979999999999833,1.4051330074536523,3.37648754483431
reset,1,2,11.999999999999833,1.38465495220428,3.352626939280498
reset,1,2,12.019999999999833,1.3648171807837763,3.328638343310544
reset,1,2,12.039999999999832,1.3456039246334308,3.3045383899042737
reset,1,2,12.059999999999832,1.3269997160136728,3.2803430253416876
reset,1,2,12.079999999999831,1.3089893972586104,3.2560675253059093
reset,1,2,12.099999999999831,1.291558128317726,3.2317265114789175
reset,1,2,12.11999999999983,1.2746913927307038,3.2073339685236957
reset,1,2,12.13999999999983,1.258375002172779,3.182903261355821
reset,1,2,12.15999999999983,1.2425950996996145,3.1584471526164077
reset,1,2,12.17999999999983,1.2273381618125339,3.133977820266673
reset,1,2,12.199999999999829,1.2125909994570423,3.1095068752322557
reset,1,2,12.219999999999828,1.1983407580599392,3.085045379032759
reset,1,2,12.239999999999828,1.1845749167030157,3.0606038613388504
reset,1,2,12.259999999999827,1.1712812865243363,3.036192337405625
reset,1,2,12.279999999999827,1.1584480084314361,3.0118203253368567
reset,1,2,12.299999999999827,1.1460635502044383,2.9874968631402443
reset,1,2,12.319999999999826,1.1341167030610921,2.9632305255388047
reset,1,2,12.339999999999826,1.1225965777500713,2.93902944050822
reset,1,2,12.359999999999825,1.1114926002335301,2.9149013055142117
reset,1,2,12.379999999999825,1.1007945070148977,2.8908534034279327
reset,1,2,12.399999999999824,1.0904923401631776,2.8668926181009193
reset,1,2,12.419999999999824,1.0805764420806208,2.8430254495844167
reset,1,2,12.439999999999824,1.071037450056514,2.819258028980824
reset,1,2,12.459999999999823,1.0618662906459955,2.7955961329176895
reset,1,2,12.479999999999823,1.0530541739092292,2.772045197637091
reset,1,2,12.499999999999822,1.0445925875429574,2.7486103326954123
reset,1,2,12.519999999999822,1.0364732909333672,2.7252963342704657
reset,1,2,12.539999999999822,1.028688309156359,2.702107698074659
reset,1,2,12.559999999999821,1.021229926948672,2.6790486318744438
reset,1,2,12.57999999999982,1.0140906826708844,2.6561230676176626
reset,1,2,12.59999999999982,1.0072633622810723,2.6333346731716105
reset,1,2,12.61999999999982,1.000740993335841,2.6106868636757
reset,1,2,12.63999999999982,0.9945168390335593,2.588182812513536
reset,1,2,12.659999999999819,0.9885843923128752,2.5658254619100087
reset,1,2,12.679999999999819,0.9829373700180183,2.5436175331597037
reset,1,2,12.699999999999818,0.9775697071409211,2.521561536493513
reset,1,2,12.719999999999818,0.9724755511488782,2.4996597805908194
reset,1,2,12.739999999999817,0.9676492564052418,2.4779143817450398
reset,1,2,12.759999999999817,0.963085378689557,2.4563272726906376
reset,1,2,12.779999999999816,0.958778669822536,2.434900211099986
reset,1,2,12.799999999999816,0.9547240724003656,2.4136347877586575
reset,1,2,12.819999999999816,0.9509167146420221,2.3925324344278645
reset,1,2,12.839999999999815,0.9473519053525246,2.3715944314028725
reset,1,2,12.859999999999815,0.9440251290043924,2.3508219147762617
reset,1,2,12.879999999999814,0.9409320409389709,2.3302158834149247
reset,1,2,12.899999999999814,0.9380684626887519,2.30977720565967
reset,1,2,12.919999999999813,0.9354303774213336,2.289506625756249
reset,1,2,12.939999999999813,0.9330139255052357,2.26940477002655
reset,1,2,12.959999999999813,0.9308154001974033,2.249472152788604
reset,1,2,12.979999999999812,0.9288312434518967,2.229709182033922
reset,1,2,12.999999999999812,0.9270580418489641,2.2101161648705556
reset,1,2,13.019999999999811,0.9254925226434332,2.190693312740118
reset,1,2,13.03999999999981,0.9241315499311303,2.1714407464168364
reset,1,2,13.05999999999981,0.9229721209318344,2.1523585007965473
reset,1,2,13.07999999999981,0.9220113623871038,2.133446529483344
reset,1,2,13.09999999999981,0.9212465270711656,2.114704709181422
reset,1,2,13.11999999999981,0.9206749904129362,2.0961328438994618
reset,1,2,13.139999999999809,0.9202942472271322,2.07773066897469
reset,1,2,13.159999999999808,0.9201019085523504,2.0594978549235807
reset,1,2,13.179999999999808,0.9200956985939248,2.04143401112593
reset,1,2,13.199999999999807,0.9202734517693103,2.0235386893488725
reset,1,2,13.219999999999807,0.9206331098537084,2.0058113871171708
reset,1,2,13.239999999999807,0.9211727192236139,1.9882515509359469
reset,1,2,13.259999999999806,0.9218904281959478,1.9708585793717979
reset,1,2,13.279999999999806,0.9227844844604286,1.9536318259980654
reset,1,2,13.299999999999805,0.9238532326028347,1.9365706022098244
reset,1,2,13.319999999999805,0.9250951117168175,1.9196741799139734
reset,1,2,13.339999999999804,0.9265086531019345,1.9029417940996227
reset,1,2,13.359999999999804,0.9280924780455939,1.886372645293795
reset,1,2,13.379999999999804,0.929845295686621,1.8699659019072767
reset,1,2,13.399999999999803,0.9317659009581881,1.8537207024752862
reset,1,2,13.419999999999803,0.9338531726078786,1.8376361577974532
reset,1,2,13.439999999999802,0.9361060712926894,1.8217113529814448
reset,1,2,13.459999999999802,0.9385236377468152,1.8059453493944093
reset,1,2,13.479999999999801,0.9411049910200939,1.790337186526256
reset,1,2,13.499999999999801,0.9438493267850355,1.7748858837686414
reset,1,2,13.5199999999998,0.9467559157103977,1.7595904421133814
reset,1,2,13.5399999999998,0.9498241018993151,1.744449845773874
reset,1,2,13.5599999999998,0.9530533013900315,1.7294630637329755
reset,1,2,13.5799999999998,0.9564430007173309,1.714629051220648
reset,1,2,13.599999999999799,0.9599927555328062,1.6999467511245603
reset,1,2,13.619999999999798,0.9637021892821489,1.685415095336712
reset,1,2,13.639999999999798,0.9675709919376895,1.6710330060390222
reset,1,2,13.659999999999798,0.971598918784459,1.6567993969307202
reset,1,2,13.679999999999797,0.9757857892580903,1.6427131744002583
reset,1,2,13.699999999999797,0.9801314858329153,1.6287732386443656
reset,1,2,13.719999999999796,0.9846359529586628,1.6149784847367605
reset,1,2,13.739999999999796,0.9892991960441971,1.6013278036489405
reset,1,2,13.759999999999796,0.9941212804867828,1.587820083225376
reset,1,2,13.779999999999795,0.9991023307453978,1.574454209115346
reset,1,2,13.799999999999795,1.004242529456656,1.5612290656635661
reset,1,2,13.819999999999794,1.0095421165919387,1.5481435367616772
reset,1,2,13.839999999999794,1.01500138865437,1.5351965066625874
reset,1,2,13.859999999999793,1.0206206979143047,1.5223868607595814
reset,1,2,13.879999999999793,1.026400451682031,1.5097134863320392
reset,1,2,13.899999999999793,1.0323411116164276,1.4971752732595425
reset,1,2,13.919999999999792,1.0384431930683342,1.4847711147060745
reset,1,2,13.939999999999792,1.044707264457437,1.4724999077759613
reset,1,2,13.959999999999791,1.0511339466814886,1.4603605541431421
reset,1,2,13.97999999999979,1.0577239125567135,1.4483519606552986
reset,1,2,13.99999999999979,1.0644778862882716,1.4364730399143186
reset,1,2,14.01999999999979,1.0713966429696802,1.424722710834522
reset,1,2,14.03999999999979,1.078481008110112,1.4130998991800214
reset,1,2,14.059999999999789,1.085731857188509,1.4016035380825522
reset,1,2,14.079999999999789,1.093150115233472,1.390232568541055
reset,1,2,14.099999999999788,1.1007367564278987,1.3789859399042583
reset,1,2,14.119999999999788,1.1084928037373643,1.367862610337466
reset,1,2,14.139999999999787,1.1164193285612456,1.3568615472747207
reset,1,2,14.159999999999787,1.1245174504056084,1.3459817278574762
reset,1,2,14.179999999999787,1.1327883365768816,1.3352221393608836
reset,1,2,14.199999999999786,1.1412332018953568,1.3245817796087618
reset,1,2,14.219999999999786,1.1498533084275528,1.3140596573782957
reset,1,2,14.239999999999785,1.1586499652364934,1.303654792795481
reset,1,2,14.259999999999785,1.167624528148948,1.2933662177223069
reset,1,2,14.279999999999784,1.1767783995386876,1.2831929761366474
reset,1,2,14.299999999999784,1.186113028124806,1.2731341245058103
reset,1,2,14.319999999999784,1.1956299087841553,1.2631887321546735
reset,1,2,14.339999999999783,1.2053305823769382,1.253355881629323
reset,1,2,14.359999999999783,1.2152166355844964,1.2436346690570872
reset,1,2,14.379999999999782,1.2252897007583199,1.234024204503853
reset,1,2,14.399999999999782,1.2355514557792981,1.2245236123295338
reset,1,2,14.419999999999781,1.2460036239262156,1.215132031542549
reset,1,2,14.439999999999781,1.2566479737524787,1.2058486161541668
reset,1,2,14.45999999999978,1.2674863189700494,1.1966725355335546
reset,1,2,14.47999999999978,1.2785205183395318,1.1876029747643717
reset,1,2,14.49999999999978,1.2897524755653424,1.1786391350037417
reset,1,2,14.51999999999978,1.3011841391948653,1.1697802338444314
reset,1,2,14.539999999999779,1.312817502520467,1.161025505681067
reset,1,2,14.559999999999778,1.3246546034832156,1.1523742020812158
reset,1,2,14.579999999999778,1.3366975245771124,1.1438255921621647
reset,1,2,14.599999999999778,1.3489483927526094,1.135378962974229
reset,1,2,14.619999999999777,1.3614093793181468,1.1270336198914297
reset,1,2,14.639999999999777,1.3740826998383993,1.1187888870103837
reset,1,2,14.659999999999776,1.3869706140278748,1.1106441075582603
reset,1,2,14.679999999999776,1.4000754256384589,1.1025986443106632
reset,1,2,14.699999999999775,1.4133994823394427,1.0946518800203127
reset,1,2,14.719999999999775,1.4269451755885187,1.086803217857408
reset,1,2,14.739999999999775,1.440714940492162,1.0790520818625733
reset,1,2,14.759999999999774,1.454711255653751,1.0713979174132937
reset,1,2,14.779999999999774,1.4689366430077122,1.0638401917047764
reset,1,2,14.799999999999773,1.483393667637899,1.0563783942461829
reset,1,2,14.819999999999773,1.4980849375783294,1.0490120373731993
reset,1,2,14.839999999999772,1.5130131035943335,1.041740656777937
reset,1,2,14.859999999999772,1.5281808589420587,1.034563812057174
reset,1,2,14.879999999999772,1.5435909391041973,1.0274810872799767
reset,1,2,14.899999999999771,1.559246121499693,1.020492091575764
reset,1,2,14.91999999999977,1.575149225165076,1.01359645974391
reset,1,2,14.93999999999977,1.591303110404966,1.0067938528860034
reset,1,2,14.95999999999977,1.6077106784091626,1.000083959061921
reset,1,2,14.97999999999977,1.624374870833611,0.9934664939709016
reset,1,2,14.999999999999769,1.6412986693424036,0.9869412016588445
reset,1,2,15.019999999999769,1.658485095107831,0.9805078552530918
reset,1,2,15.039999999999768,1.67593720826535,0.9741662577259946
reset,1,2,15.059999999999768,1.6936581073201795,0.9679162426886033
reset,1,2,15.079999999999767,1.7116509285020622,0.9617576752158645
reset,1,2,15.099999999999767,1.729918845064566,0.9556904527047536
reset,1,2,15.119999999999767,1.7484650665251038,0.9497145057668169
reset,1,2,15.139999999999766,1.7672928378416632,0.9438297991566473
reset,1,2,15.159999999999766,1.786405438522028,0.9380363327378666
reset,1,2,15.179999999999765,1.8058061816610622,0.932334142488243
