t,x,y,x_clean,y_clean
14.5,1.8147295592262516,1.125599366609623,1.8633113750421364,1.0322736801023376
14.75,2.109430751866655,0.9404761515959339,2.110165874053664,0.9806864093029403
15.0,2.4686734826342045,0.9327871273742051,2.4019628061294798,0.9506715852850518
15.25,2.6846341940893583,0.8994530166723806,2.7405100899041104,0.9436150939878407
15.5,3.2681561580645457,0.9076532860920721,3.1246119840168203,0.9623598688705263
15.75,3.570161754623559,0.9853816032719379,3.547640317131956,1.011703293990589
16.0,4.0082035406837235,1.069277591458158,3.9940601297258955,1.0989718879360952
16.25,4.483739571640456,1.2123156658826921,4.435032821874297,1.2344469399645415
16.5,4.974505483614802,1.4796139966574617,4.824241408314391,1.4309691442995593
16.75,5.057001126429614,1.7990937612719335,5.09729648345349,1.7012520066096717
17.0,5.256388644371564,2.049684790828132,5.1810782539702105,2.050742940832088
17.25,5.052242004330562,2.4160698024317555,5.019174244206017,2.465361751812609
17.5,4.611968568660753,2.854952739807465,4.607974901075247,2.900201717901332
17.75,4.1101513695077,3.2427393723040763,4.016268012332352,3.2837265022156132
18.0,3.466837210734173,3.582451043449876,3.3601644135407787,3.5452891639327393
18.25,2.7181984063888,3.672311133220256,2.7475841167675408,3.6478393366964306
18.5,2.1519036954591915,3.6203132043352446,2.2398622419532757,3.5981495466995983
18.75,1.9147541437274318,3.385768789079706,1.8515982269102276,3.431929571883814
19.0,1.6279972837051555,3.2529343697684614,1.5706145469423263,3.192638026378314
19.25,1.225542078228623,2.9234651607913724,1.3762325884867856,2.9179410993036763
19.5,1.2291267984712149,2.6182574623955857,1.2489503461120208,2.6351918065355093
19.75,1.2215247824309432,2.3267336254812574,1.1736780701097778,2.3620199176819656
20.0,1.1099675038074253,2.136510315277966,1.1399300925864062,2.1086387685180874
20.25,1.1362986110493694,1.8370031568641172,1.141039096680854,1.8801953179322508
20.5,1.1539375609589118,1.7187056108294005,1.1732713255694867,1.6786245255620245
20.75,1.3168789776128624,1.537222605061463,1.235110622248737,1.5039652798550798
21.0,1.2280728294514451,1.4331246047515351,1.3267376583744988,1.3552486142722504
21.25,1.5193529386578806,1.2773878321105852,1.4496545132133476,1.2310865850783301
21.5,1.6113241427529728,1.0639218807086583,1.6063868275320843,1.130068063422299
21.75,1.7999307465199068,1.0659194918496184,1.8001906766552167,1.0510416052463836
22.0,2.120945380550944,0.9311984875242278,2.0346814138909664,0.9933460050421965
22.25,2.45003174628678,1.0335895799648898,2.313279722266039,0.9570376208615682
22.5,2.747664512997064,0.9952625049530143,2.6383326118439077,0.9431585052105937
22.75,3.089633787738739,0.8503159737101217,3.00971540488503,0.9540867502418215
23.0,3.465329622427177,1.0911183256801578,3.422670219638811,0.9940001437365641
23.25,3.978543085684978,1.004669478245514,3.8646428947368547,1.0694400905037291
23.5,4.242858657188331,1.2179278335753172,4.311097716163297,1.189822861840322
23.75,4.651324094782503,1.4296638790974179,4.721057927507454,1.367389913736077
24.0,5.072270024752093,1.6425774053898166,5.034957542703424,1.6153859570964284
24.25,5.107312406631287,1.8882834893767955,5.180348900826091,1.9424111505393018
24.5,5.076203062745822,2.275670988799169,5.092463426560393,2.3414221989617103
24.75,4.724332004869625,2.797934573504108,4.749072057497714,2.7769373869760665
25.0,4.22114701102186,3.2839046619345944,4.198516169540881,3.183196345130403
