window_size,dp_w,dp_wv,J
1,-1.4625,-0.15,0.7963578610620157
1,-1.4625,-0.1375,0.7937220601232987
1,-1.4625,-0.125,0.7920579874162508
1,-1.4625,-0.1125,0.7913554900578708
1,-1.4625,-0.1,0.7916044491874102
1,-1.4625,-0.0875,0.7927950098980681
1,-1.4625,-0.075,0.7949422121202248
1,-1.4625,-0.0625,0.7980468674481465
1,-1.4625,-0.05,0.8020636176250872
1,-1.4625,-0.0375,0.8069817229178797
1,-1.4625,-0.025,0.8127912580250938
1,-1.4625,-0.0125,0.8194823307536173
1,-1.4625,0.0,0.8270450801235198
1,-1.4625,0.0125,0.8354696760316656
1,-1.4625,0.025,0.8447463189114159
1,-1.4625,0.0375,0.8548652393858956
1,-1.4625,0.05,0.8658166979153492
1,-1.4625,0.0625,0.8775909844391542
1,-1.4625,0.075,0.8901784180130596
1,-1.4625,0.0875,0.9035693464422121
1,-1.4625,0.1,0.9177541459106149
1,-1.4625,0.1125,0.9327232206075958
1,-1.4625,0.125,0.9484670023519379
1,-1.4625,0.1375,0.9649759502143118
1,-1.4625,0.15,0.9822405501386612
1,-1.4625,0.1625,1.000251314563204
1,-1.4625,0.175,1.0189987820417368
1,-1.4625,0.1875,1.0384735168659096
1,-1.4625,0.2,1.0586661086891802
1,-1.4625,0.2125,1.0795671721531221
1,-1.4625,0.225,1.1011673465168206
1,-1.4625,0.2375,1.1234572952900375
1,-1.4625,0.25,1.1464277058708685
1,-1.4625,0.2625,1.1700692891886126
1,-1.4625,0.275,1.19437277935256
1,-1.4625,0.2875,1.2193289333074138
1,-1.4625,0.3,1.2449285304960862
1,-1.4625,0.3125,1.27116237253055
1,-1.4625,0.325,1.298021282871485
1,-1.4625,0.3375,1.3254961065174207
1,-1.4625,0.35,1.3535777097040993
1,-1.4625,0.3625,1.3822569796147153
1,-1.4625,0.375,1.4115248241017946
1,-1.4625,0.3875,1.4413721714213512
1,-1.4625,0.4,1.4717899699800336
1,-1.4625,0.4125,1.5027691880959142
1,-1.4625,0.425,1.5343008137736178
1,-1.4625,0.4375,1.5663758544944026
1,-1.4625,0.45,1.598985337021893
1,-1.4625,0.4625,1.6321203072240364
1,-1.4625,0.475,1.665771829911958
1,-1.4625,0.4875,1.699930988696282
1,-1.4625,0.5,1.7345888858615386
1,-1.425,-0.5,1.2715370006403968
1,-1.425,-0.4875,1.237630917296264
1,-1.425,-0.475,1.204982584918823
1,-1.425,-0.4625,1.1735809947178824
1,-1.425,-0.45,1.1434151728265811
1,-1.425,-0.4375,1.114474180362719
1,-1.425,-0.425,1.0867471134822222
1,-1.425,-0.4125,1.0602231034244434
1,-1.425,-0.4,1.0348913165490579
1,-1.425,-0.3875,1.0107409543642916
1,-1.425,-0.375,0.9877612535462397
1,-1.425,-0.3625,0.9659414859490355
1,-1.425,-0.35,0.9452709586056699
1,-1.425,-0.3375,0.9257390137192331
1,-1.425,-0.325,0.9073350286444055
1,-1.425,-0.3125,0.8900484158590077
1,-1.425,-0.3,0.8738686229254525
1,-1.425,-0.2875,0.8587851324419704
1,-1.425,-0.275,0.8447874619834523
1,-1.425,-0.2625,0.8318651640318361
1,-1.425,-0.25,0.8200078258959272
1,-1.425,-0.2375,0.8092050696205907
1,-1.425,-0.225,0.7994465518852797
1,-1.425,-0.2125,0.7907219638918485
1,-1.425,-0.2,0.7830210312416813
1,-1.425,-0.1875,0.7763335138021173
1,-1.425,-0.175,0.7706492055622433
1,-1.425,-0.1625,0.7659579344781027
1,-1.425,-0.15,0.762249562307403
1,-1.425,-0.1375,0.7595139844338451
1,-1.425,-0.125,0.7577411296812063
1,-1.425,-0.1125,0.7569209601181761
1,-1.425,-0.1,0.7570434713020564
1,-1.425,-0.0875,0.7580989222565593
1,-1.425,-0.075,0.7601024664019397
1,-1.425,-0.0625,0.7630550284293242
1,-1.425,-0.05,0.7669113628340857
1,-1.425,-0.0375,0.7716608423392336
1,-1.425,-0.025,0.7772936538528423
1,-1.425,-0.0125,0.7838000171942815
1,-1.425,0.0,0.7911701832489784
1,-1.425,0.0125,0.7993944336821523
1,-1.425,0.025,0.8084630806487106
1,-1.425,0.0375,0.8183664664967113
1,-1.425,0.05,0.8290949634648428
1,-1.425,0.0625,0.840638973374361
1,-1.425,0.075,0.8529889273159856
1,-1.425,0.0875,0.8661352853322245
1,-1.425,0.1,0.8800685360956708
1,-1.425,0.1125,0.8947791965837637
1,-1.425,0.125,0.9102578117505916
1,-1.425,0.1375,0.9264949541962653
1,-1.425,0.15,0.9434812238344474
1,-1.425,0.1625,0.9612072475586166
