plane,n,window_size,f_blow,basin,J_min,J_max
wv_ww,201,2,0.0,0.03358827751788322,0.02077996,2.270235
wv_ww,201,3,0.0,0.016212469988366625,0.02159901,6.265302
wv_ww,201,4,0.0,0.0045048389891339325,0.01651742,14.97117
wv_ww,201,5,0.0,0.00480186134006584,0.02088403,30.71609
wv_ww,201,6,0.0,0.005222643003886042,0.07896341,66.14044
wv_ww,201,8,0.0,0.0011138338159946536,0.01884392,259.0636
wv_ww,201,10,0.0012375931288829412,0.0003960298012425435,0.01543365,818.0895
wv_ww,201,12,0.02509838865374614,0.00034652607608722555,0.02576891,984.7692
wv_ww,201,15,0.0721516794138759,0.00044553352639786146,0.01960782,904.3513
wv_ww,201,20,0.11573970941313338,0.00014851117546595382,0.01726913,975.4906
wv_ww,201,25,0.18353506101334127,9.900745031063588e-05,0.02070019,992.023
wv_ww,201,33,0.22289052251181907,0.00014851117546595382,0.0226175,986.9638
wv_ww,201,50,0.25345907279522784,7.425558773297691e-05,0.01548269,996.9267
wv_ww,201,75,0.2712061582634093,4.950372515531794e-05,0.01539131,996.065
wv_ww,201,100,0.2819237147595357,4.950372515531794e-05,0.0175762,991.6463
