seed,kappa_min,kappa_eval,J
2,75,3,0.02420553951672054
2,75,4,0.0171700702588539
2,75,5,0.023083200743254866
2,75,6,0.09067598255199247
2,75,8,0.016696743280204793
2,75,10,0.016426825697397167
2,75,12,0.0338821904956455
2,75,15,0.02160494009930961
2,75,20,0.018806011983307884
2,75,25,0.02758239024842444
2,75,33,0.03052243338088944
2,75,50,0.03987609921626781
2,75,75,0.013357640159736558
2,75,100,0.013510384975256442
2,100,1,0.0183249220588725
2,100,2,0.022032259629807364
2,100,3,0.025270266002276193
2,100,4,0.016825682345450288
2,100,5,0.023233427693640812
2,100,6,0.0882507907494816
2,100,8,0.016183572198129416
2,100,10,0.016627335953219326
2,100,12,0.032089032345577695
2,100,15,0.022655424466204145
2,100,20,0.018747721355345096
2,100,25,0.027307318804852633
2,100,33,0.033012084595092105
2,100,50,0.041239860732665855
2,100,75,0.013403708089546384
2,100,100,0.013332701366976197
